family,variant,symbol,timeframe,requested_range,actual_range,net_perf_pct,asset_symbol,asset_perf_pct,excess_vs_asset_pct,beat_asset,strategy_max_drawdown_pct,asset_max_drawdown_pct,positions,win_rate_pct,notes
ORB intraday,"long-only, 1-bar ORB, volume >= 1.5x SMA20, 3.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,0.25,SOXL,682.95,-682.7,False,-15.61,-88.04,19,52.63,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, volume >= 1.5x SMA20, 1.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-5.35,SOXL,682.95,-688.3,False,-13.3,-88.04,10,60.0,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, volume >= 1.5x SMA20, no target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-5.87,SOXL,682.95,-688.82,False,-13.3,-88.04,10,60.0,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, volume >= 1.5x SMA20, 2.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-5.87,SOXL,682.95,-688.82,False,-13.3,-88.04,10,60.0,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, volume >= 1.5x SMA20, 3.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-5.87,SOXL,682.95,-688.82,False,-13.3,-88.04,10,60.0,Intraday opening-range parameter search; no costs/slippage.
VWAP intraday,"long+short reclaim, after 1 bars, no target, no stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-8.21,SOXL,682.95,-691.16,False,-33.46,-88.04,524,38.93,Intraday VWAP parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, volume >= 2.0x SMA20, no target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-9.3,SOXL,682.95,-692.25,False,-13.43,-88.04,9,44.44,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, volume >= 2.0x SMA20, 1.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-9.3,SOXL,682.95,-692.25,False,-13.43,-88.04,9,44.44,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, volume >= 2.0x SMA20, 2.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-9.3,SOXL,682.95,-692.25,False,-13.43,-88.04,9,44.44,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, volume >= 2.0x SMA20, 3.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-9.3,SOXL,682.95,-692.25,False,-13.43,-88.04,9,44.44,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, volume >= 2.0x SMA20, no target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-10.1,SOXL,682.95,-693.04,False,-13.05,-88.04,7,42.86,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, volume >= 2.0x SMA20, 1.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-10.1,SOXL,682.95,-693.04,False,-13.05,-88.04,7,42.86,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, volume >= 2.0x SMA20, 2.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-10.1,SOXL,682.95,-693.04,False,-13.05,-88.04,7,42.86,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, volume >= 2.0x SMA20, 3.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-10.1,SOXL,682.95,-693.04,False,-13.05,-88.04,7,42.86,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 1-bar ORB, volume >= 1.0x SMA20, 1.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-10.47,SOXL,682.95,-693.42,False,-43.7,-88.04,258,49.61,Intraday opening-range parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 2 bars, 2.0% target, no stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-11.21,SOXL,682.95,-694.16,False,-44.07,-88.04,638,46.08,Intraday VWAP parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, volume >= 1.0x SMA20, no target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-12.2,SOXL,682.95,-695.15,False,-23.01,-88.04,104,50.0,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, volume >= 1.0x SMA20, 2.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-12.2,SOXL,682.95,-695.15,False,-23.01,-88.04,104,50.0,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, volume >= 1.0x SMA20, 3.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-12.2,SOXL,682.95,-695.15,False,-23.01,-88.04,104,50.0,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, volume >= 1.0x SMA20, 1.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-12.4,SOXL,682.95,-695.35,False,-23.08,-88.04,104,50.0,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 1-bar ORB, volume >= 1.0x SMA20, no target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-13.38,SOXL,682.95,-696.32,False,-46.46,-88.04,257,49.42,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 1-bar ORB, volume >= 1.0x SMA20, 2.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-13.38,SOXL,682.95,-696.32,False,-46.46,-88.04,257,49.42,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 1-bar ORB, volume >= 1.0x SMA20, 3.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-13.38,SOXL,682.95,-696.32,False,-46.46,-88.04,257,49.42,Intraday opening-range parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 2 bars, no target, no stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-13.69,SOXL,682.95,-696.64,False,-43.65,-88.04,591,44.33,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 2 bars, 2.0% target, 1.0% stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-13.96,SOXL,682.95,-696.91,False,-47.02,-88.04,669,44.84,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 2 bars, no target, 1.0% stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-15.19,SOXL,682.95,-698.14,False,-45.88,-88.04,623,43.18,Intraday VWAP parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, no volume filter, 1.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-16.13,SOXL,682.95,-699.08,False,-38.4,-88.04,232,47.41,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, no volume filter, no target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-16.88,SOXL,682.95,-699.83,False,-38.34,-88.04,232,47.41,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, no volume filter, 2.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-16.88,SOXL,682.95,-699.83,False,-38.34,-88.04,232,47.41,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 2-bar ORB, no volume filter, 3.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-16.88,SOXL,682.95,-699.83,False,-38.34,-88.04,232,47.41,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 2-bar ORB, volume >= 1.0x SMA20, no target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-18.89,SOXL,682.95,-701.84,False,-49.26,-88.04,125,44.8,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 2-bar ORB, volume >= 1.0x SMA20, 2.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-18.89,SOXL,682.95,-701.84,False,-49.26,-88.04,125,44.8,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 2-bar ORB, volume >= 1.0x SMA20, 3.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-18.89,SOXL,682.95,-701.84,False,-49.26,-88.04,125,44.8,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 2-bar ORB, volume >= 1.0x SMA20, 1.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-20.28,SOXL,682.95,-703.23,False,-48.98,-88.04,125,44.8,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, no volume filter, no target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-20.55,SOXL,682.95,-703.5,False,-39.93,-88.04,308,48.05,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, no volume filter, 2.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-20.55,SOXL,682.95,-703.5,False,-39.93,-88.04,308,48.05,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, no volume filter, 3.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-20.55,SOXL,682.95,-703.5,False,-39.93,-88.04,308,48.05,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long-only, 1-bar ORB, no volume filter, 1.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-23.46,SOXL,682.95,-706.41,False,-41.55,-88.04,310,48.39,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 2-bar ORB, no volume filter, no target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-26.72,SOXL,682.95,-709.67,False,-47.97,-88.04,410,45.61,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 2-bar ORB, no volume filter, 3.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-26.72,SOXL,682.95,-709.67,False,-47.97,-88.04,410,45.61,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 2-bar ORB, no volume filter, 2.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-27.21,SOXL,682.95,-710.16,False,-47.97,-88.04,410,45.61,Intraday opening-range parameter search; no costs/slippage.
ORB intraday,"long+short, 2-bar ORB, no volume filter, 1.0R target",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-27.49,SOXL,682.95,-710.44,False,-47.68,-88.04,411,45.74,Intraday opening-range parameter search; no costs/slippage.
VWAP intraday,"long+short state, after 2 bars, 2.0% target, no stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-36.8,SOXL,682.95,-719.75,False,-62.21,-88.04,1051,44.62,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 2 bars, 1.0% target, no stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-38.03,SOXL,682.95,-720.98,False,-59.02,-88.04,715,48.39,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short state, after 2 bars, 2.0% target, 1.0% stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-38.18,SOXL,682.95,-721.13,False,-65.04,-88.04,1115,43.23,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 2 bars, 1.0% target, 1.0% stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-38.69,SOXL,682.95,-721.64,False,-60.2,-88.04,746,47.18,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short state, after 2 bars, no target, no stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-42.66,SOXL,682.95,-725.61,False,-60.87,-88.04,946,42.81,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short state, after 2 bars, no target, 1.0% stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-47.22,SOXL,682.95,-730.17,False,-65.27,-88.04,1012,41.5,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short state, after 2 bars, 1.0% target, no stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-59.86,SOXL,682.95,-742.8,False,-72.0,-88.04,1169,47.48,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short state, after 2 bars, 1.0% target, 1.0% stop",SOXL,60m,period=730d; interval=60m,2023-06-23 09:30:00-04:00 to 2026-05-20 15:30:00-04:00,-61.47,SOXL,682.95,-744.42,False,-75.45,-88.04,1230,45.93,Intraday VWAP parameter search; no costs/slippage.
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 9-month return if positive, else AGG",SMH/SOXL/AGG,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,3527.14,SMH,4807.43,-1280.29,False,-86.75,-45.3,39,64.1,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 9-month return if positive, else BIL",SMH/SOXL/BIL,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,3018.23,SMH,4807.43,-1789.2,False,-87.46,-45.3,39,58.97,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
Moving-average trend,"SMA63/SMA200 cross, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,26863.21,SOXL,28725.16,-1861.95,False,-62.15,-90.46,8,75.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 2-month return if positive, else AGG",SMH/SOXL/AGG,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2817.01,SMH,4807.43,-1990.42,False,-76.76,-45.3,77,59.74,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
Moving-average trend,"SMA63/SMA150 cross, 10% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,26537.92,SOXL,28725.16,-2187.24,False,-65.14,-90.46,11,63.64,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA13/SMA200 state, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2591.23,SMH,4807.43,-2216.21,False,-33.02,-45.3,14,50.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA13/SMA200 state, 10% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2591.23,SMH,4807.43,-2216.21,False,-33.02,-45.3,14,50.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA13/SMA200 state, 20% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2591.23,SMH,4807.43,-2216.21,False,-33.02,-45.3,14,50.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA13/SMA200 state, 30% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2591.23,SMH,4807.43,-2216.21,False,-33.02,-45.3,14,50.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 2-month return if positive, else BIL",SMH/SOXL/BIL,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2530.06,SMH,4807.43,-2277.37,False,-74.91,-45.3,77,57.14,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
Moving-average trend,"SMA13/SMA200 cross, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2514.03,SMH,4807.43,-2293.4,False,-33.02,-45.3,13,46.15,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA13/SMA200 cross, 10% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2514.03,SMH,4807.43,-2293.4,False,-33.02,-45.3,13,46.15,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA13/SMA200 cross, 20% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2514.03,SMH,4807.43,-2293.4,False,-33.02,-45.3,13,46.15,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA13/SMA200 cross, 30% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2514.03,SMH,4807.43,-2293.4,False,-33.02,-45.3,13,46.15,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA20/SMA150 cross, 10% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2400.98,SMH,4807.43,-2406.45,False,-33.86,-45.3,16,56.25,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA40/SMA150 cross, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2378.97,SMH,4807.43,-2428.47,False,-33.62,-45.3,12,66.67,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA40/SMA150 cross, 20% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2378.97,SMH,4807.43,-2428.47,False,-33.62,-45.3,12,66.67,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA40/SMA150 cross, 30% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2378.97,SMH,4807.43,-2428.47,False,-33.62,-45.3,12,66.67,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA40/SMA150 state, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2378.97,SMH,4807.43,-2428.47,False,-33.62,-45.3,12,66.67,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA40/SMA150 state, 20% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2378.97,SMH,4807.43,-2428.47,False,-33.62,-45.3,12,66.67,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA40/SMA150 state, 30% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2378.97,SMH,4807.43,-2428.47,False,-33.62,-45.3,12,66.67,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA30/SMA150 cross, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2317.74,SMH,4807.43,-2489.69,False,-33.62,-45.3,13,61.54,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA30/SMA150 cross, 20% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2317.74,SMH,4807.43,-2489.69,False,-33.62,-45.3,13,61.54,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA30/SMA150 cross, 30% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2317.74,SMH,4807.43,-2489.69,False,-33.62,-45.3,13,61.54,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA30/SMA150 state, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2317.74,SMH,4807.43,-2489.69,False,-33.62,-45.3,13,61.54,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA30/SMA150 state, 20% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2317.74,SMH,4807.43,-2489.69,False,-33.62,-45.3,13,61.54,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA30/SMA150 state, 30% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2317.74,SMH,4807.43,-2489.69,False,-33.62,-45.3,13,61.54,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA21/SMA150 cross, 10% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2298.54,SMH,4807.43,-2508.89,False,-33.62,-45.3,15,53.33,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA40/SMA150 state, 10% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2296.44,SMH,4807.43,-2510.99,False,-33.62,-45.3,16,68.75,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA10/SMA200 state, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2294.23,SMH,4807.43,-2513.2,False,-36.02,-45.3,16,43.75,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA10/SMA200 state, 10% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2294.23,SMH,4807.43,-2513.2,False,-36.02,-45.3,16,43.75,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA10/SMA200 state, 20% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2294.23,SMH,4807.43,-2513.2,False,-36.02,-45.3,16,43.75,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA10/SMA200 state, 30% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2294.23,SMH,4807.43,-2513.2,False,-36.02,-45.3,16,43.75,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA5/SMA252 cross, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2281.0,SMH,4807.43,-2526.43,False,-28.66,-45.3,17,35.29,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA5/SMA252 cross, 10% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2281.0,SMH,4807.43,-2526.43,False,-28.66,-45.3,17,35.29,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA5/SMA252 cross, 20% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2281.0,SMH,4807.43,-2526.43,False,-28.66,-45.3,17,35.29,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA5/SMA252 cross, 30% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2281.0,SMH,4807.43,-2526.43,False,-28.66,-45.3,17,35.29,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA20/SMA150 cross, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2276.34,SMH,4807.43,-2531.09,False,-33.86,-45.3,16,56.25,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA20/SMA150 cross, 20% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2276.34,SMH,4807.43,-2531.09,False,-33.86,-45.3,16,56.25,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA20/SMA150 cross, 30% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2276.34,SMH,4807.43,-2531.09,False,-33.86,-45.3,16,56.25,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA20/SMA150 state, no stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2276.34,SMH,4807.43,-2531.09,False,-33.86,-45.3,16,56.25,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA20/SMA150 state, 20% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2276.34,SMH,4807.43,-2531.09,False,-33.86,-45.3,16,56.25,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA20/SMA150 state, 30% stop",SMH,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,2276.34,SMH,4807.43,-2531.09,False,-33.86,-45.3,16,56.25,Daily MA parameter search; optimized in-sample; no costs/slippage.
