date,baseline,is_rank_1_with_exit_profiles,is_rank_2_with_exit_profiles,is_rank_3_with_exit_profiles,risk_first_trend_runner__one_r_invalidation,risk_first_trend_runner__trend_structure_break,risk_first_trend_runner__time_and_volatility_failure,volatility_ladder__one_r_invalidation,volatility_ladder__trend_structure_break,volatility_ladder__time_and_volatility_failure,structure_ladder__one_r_invalidation,structure_ladder__trend_structure_break,structure_ladder__time_and_volatility_failure
2018-09-12,20.394834325964297,25.96405585069783,27.77189168874548,23.05801726713409,25.96405585069783,26.216005226338492,23.05801726713409,27.77189168874548,24.726309937667097,27.430808428957928,25.79017993056217,22.15074661619445,26.773306746063295
2018-09-13,20.99876911878678,26.476623443072917,28.59427697441452,23.740814619569335,26.476623443072917,26.73354665968878,23.740814619569335,28.59427697441452,25.458509014688204,28.243093507655797,26.553882480152858,22.806677738492603,27.56612178954083
2018-09-14,20.83872935956818,26.342097702801155,28.37634890557733,23.55987666868868,26.342097702801155,26.597715511800278,23.55987666868868,28.37634890557733,25.26447984899153,28.027841944148214,26.351505048675666,22.63285920688262,27.356029689911917
2018-09-17,19.960003208767606,25.601569822590236,27.17977691611853,22.566405359512753,25.601569822590236,25.850001715100174,22.566405359512753,27.17977691611853,24.199128946514865,26.845965773012097,25.24031654002542,21.678478308253425,26.20248245313833
2018-09-18,20.434089543662772,26.006959016095745,27.825345991767314,23.102398480192747,26.006959016095745,26.259324714432573,23.102398480192747,27.825345991767314,24.773902218338257,27.483606227621735,25.83981990858191,22.19338154848686,26.82483900997028
2018-09-19,20.388796549114915,25.968528691110123,27.763669975245787,23.051191069842023,25.968528691110123,26.220521470191134,23.051191069842023,27.763669975245787,24.718989851643048,27.42268769125322,25.78254489176571,22.14418901131381,26.765380658061346
2018-09-20,21.028962837122435,26.512100960555863,28.63539212454991,23.77495107135979,26.512100960555863,26.76936844304569,23.77495107135979,28.63539212454991,25.49511530556587,28.283703697970946,26.592063787056535,22.83947101317993,27.605758575497735
2018-09-21,20.693784042473034,26.23038492563107,28.178975120489383,23.396004211038207,26.23038492563107,26.48491869889167,23.396004211038207,28.178975120489383,25.088750898354984,27.83289222490241,26.168215214189626,22.47543468747424,27.165752810287877
2018-09-24,20.871946800417273,26.380938274105112,28.421581495099474,23.59743168445527,26.380938274105112,26.636932983298323,23.59743168445527,28.421581495099474,25.304752043638647,28.072519005107313,26.393509987898945,22.6689365342944,27.39963586581695
2018-09-25,20.95649501266361,26.452180986944654,28.536711814642842,23.69302030786465,26.452180986944654,26.708867019447368,23.69302030786465,28.536711814642842,25.40725669100502,28.18623534013964,26.500424982734888,22.76076400375987,27.51062648163287
