rank_drawdown_first,variant,cash_mode,cash_sma,exit_buffer_pct,reentry_buffer_pct,dca_start_below_sma_pct,dca_max_below_sma_pct,dca_entry_exposure,dca_max_exposure,dca_filter,recover_buffer_pct,max_dca_days,normal_exposure,trade_events,2010_return_pct,2010_cagr_pct,2010_max_drawdown_pct,2010_calmar,2010_sharpe,2010_2022_return_pct,2010_2022_drawdown_pct,2010_cash_days_pct,2010_deep_dca_days_pct,2010_avg_exposure,2020_return_pct,2020_cagr_pct,2020_max_drawdown_pct,2020_calmar,2020_sharpe,2020_2022_return_pct,2020_2022_drawdown_pct,2020_cash_days_pct,2020_deep_dca_days_pct,2020_avg_exposure
266,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.50->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,200,0.0,1.0,20.0,50.0,0.5,2.0,none,5.0,63,1.0,155,777943.84,75.74,-77.4,0.979,1.15,-54.46,-77.12,11.91,8.68,0.884,32962.23,148.08,-77.4,1.913,1.44,-54.46,-77.12,4.42,15.94,0.985
267,selected_and_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_and_qqq,150,0.0,1.0,20.0,50.0,1.0,2.0,none,5.0,20,1.0,232,184746.69,60.54,-77.51,0.781,1.01,-68.67,-77.51,17.41,8.53,0.856,9984.78,105.98,-77.51,1.367,1.23,-68.67,-77.51,11.02,15.63,0.96
268,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,150,0.0,1.0,20.0,50.0,1.0,2.0,none,5.0,20,1.0,178,1063956.57,79.23,-77.64,1.021,1.15,-67.26,-77.36,11.86,8.4,0.912,24108.21,136.26,-77.64,1.755,1.36,-67.26,-77.36,5.54,15.32,1.015
269,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->1.50; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,200,0.0,1.0,25.0,50.0,1.0,1.5,none,5.0,20,1.0,149,353629.78,67.23,-77.74,0.865,1.1,-70.39,-77.47,13.73,6.85,0.876,16139.71,121.94,-77.74,1.569,1.34,-70.39,-77.47,6.29,14.07,0.969
270,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.67->2.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,200,0.0,1.0,20.0,50.0,0.67,2.0,none,5.0,20,1.0,173,694844.22,74.49,-77.86,0.957,1.13,-67.3,-77.58,12.11,8.48,0.891,22653.2,133.98,-77.86,1.721,1.37,-67.3,-77.58,4.86,15.5,0.994
271,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->1.50; filter=none; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,25.0,50.0,1.0,1.5,none,5.0,63,1.0,143,213338.1,62.0,-78.08,0.794,1.06,-74.95,-77.81,18.56,7.03,0.828,5666.37,88.71,-78.08,1.136,1.16,-74.95,-77.81,10.34,14.45,0.929
272,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,1.0,2.0,none,5.0,63,1.0,167,700961.54,74.59,-78.23,0.953,1.13,-70.99,-77.96,16.86,8.73,0.862,10380.63,107.23,-78.23,1.371,1.23,-70.99,-77.96,8.72,16.06,0.985
273,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,150,0.0,1.0,20.0,50.0,1.0,2.0,none,5.0,63,1.0,162,878199.37,77.08,-78.33,0.984,1.14,-71.08,-78.06,11.66,8.6,0.915,22025.74,132.95,-78.33,1.697,1.34,-71.08,-78.06,5.11,15.75,1.022
274,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 0.67->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,200,0.0,1.0,25.0,50.0,0.67,2.0,none,5.0,63,1.0,135,429238.96,69.28,-78.67,0.881,1.1,-69.99,-78.41,13.56,7.03,0.878,20369.36,130.13,-78.67,1.654,1.36,-69.99,-78.41,5.92,14.45,0.979
275,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.67->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,200,0.0,1.0,20.0,50.0,0.67,2.0,none,5.0,63,1.0,155,751484.1,75.35,-78.91,0.955,1.14,-63.72,-78.65,11.91,8.68,0.894,26215.91,139.37,-78.91,1.766,1.39,-63.72,-78.65,4.42,15.94,1.0
