period,signal_date,trade_date,action,ticker,price,old_weight,new_weight,score,rank,equity_before_trade
2024,2024-05-31,2024-06-03,SELL,COIN,232.5,0.5,0.0,,,1.2368727181199124
2024,2024-05-31,2024-06-03,BUY,CVNA,20.6560001373291,0.0,0.5,1.7207121840832764,1,1.2368727181199124
2024,2024-06-28,2024-07-01,SELL,CVNA,25.79800033569336,0.5,0.0,,,1.4160198492567078
2024,2024-06-28,2024-07-01,BUY,VST,87.78499757927726,0.0,0.5,1.7091657033433076,2,1.4160198492567078
2024,2024-07-31,2024-08-01,SELL,SMCI,70.45600128173828,0.5,0.0,,,1.2395712997897783
2024,2024-07-31,2024-08-01,BUY,CVNA,29.468000411987305,0.0,0.5,1.8171727056857159,1,1.2395712997897783
2024,2024-08-30,2024-09-03,SELL,VST,84.08526085347886,0.5,0.0,,,1.2935358147283194
2024,2024-08-30,2024-09-03,BUY,MMM,129.27461379719784,0.0,0.5,0.6580514637943369,2,1.2935358147283194
2024,2024-09-30,2024-10-01,SELL,MMM,132.18066246257666,0.5,0.0,,,1.4191344392807577
2024,2024-09-30,2024-10-01,BUY,TPL,288.74157876041573,0.0,0.5,0.5487523145817106,2,1.4191344392807577
2024,2024-10-31,2024-11-01,SELL,CVNA,49.46200180053711,0.5,0.0,,,1.957978456972201
2024,2024-10-31,2024-11-01,BUY,APP,171.13999938964844,0.0,0.5,0.8126120932481071,1,1.957978456972201
2024,2024-11-29,2024-12-02,SELL,TPL,530.6968120279518,0.5,0.0,,,3.286798391160095
2024,2024-11-29,2024-12-02,BUY,CVNA,52.32799911499024,0.0,0.5,1.0735147629220818,2,3.286798391160095
2025,2024-12-31,2025-01-02,BUY,APP,331.0599975585937,0.0,0.5,3.02425906754175,1,1.0
2025,2024-12-31,2025-01-02,BUY,PLTR,76.19999694824219,0.0,0.5,1.5969803340762128,2,1.0
2025,2025-05-30,2025-06-02,SELL,APP,392.30999755859375,0.5,0.0,,,1.4901441175272379
2025,2025-05-30,2025-06-02,BUY,VRSN,268.39031701469065,0.0,0.5,0.5508765755442093,2,1.4901441175272379
2025,2025-06-30,2025-07-01,SELL,PLTR,135.27000427246094,0.5,0.0,,,1.5674540040978344
2025,2025-06-30,2025-07-01,SELL,VRSN,287.3757030935857,0.5,0.0,,,1.5674540040978344
2025,2025-06-30,2025-07-01,BUY,NRG,158.44766491220574,0.0,0.5,0.6743177677154899,1,1.5674540040978344
2025,2025-06-30,2025-07-01,BUY,HOOD,95.01200103759766,0.0,0.5,0.6157149521090706,2,1.5674540040978344
2025,2025-07-31,2025-08-01,SELL,NRG,160.75911121351254,0.5,0.0,,,1.6069654755863738
2025,2025-07-31,2025-08-01,BUY,SMCI,57.11000061035156,0.0,0.5,0.6978418006579119,2,1.6069654755863738
2025,2025-08-29,2025-09-02,SELL,SMCI,40.02999877929688,0.5,0.0,,,1.373807682180693
2025,2025-08-29,2025-09-02,BUY,GEV,589.5131417920311,0.0,0.5,0.972316657463359,2,1.373807682180693
2025,2025-09-30,2025-10-01,SELL,GEV,598.5871748160569,0.5,0.0,,,1.6482326954431024
2025,2025-09-30,2025-10-01,BUY,SATS,75.51000213623047,0.0,0.5,1.4155590734878767,2,1.6482326954431024
2025,2025-10-31,2025-11-03,SELL,HOOD,148.7899932861328,0.5,0.0,,,1.6885830451533494
2025,2025-10-31,2025-11-03,BUY,SNDK,210.8500061035156,0.0,0.5,2.6087207524179523,1,1.6885830451533494
2026 YTD,2025-12-31,2026-01-02,BUY,SNDK,244.3500061035156,0.0,0.5,3.5481498016208795,1,1.0
2026 YTD,2025-12-31,2026-01-02,BUY,LITE,379.3800048828125,0.0,0.5,2.4845462529545723,2,1.0
2026 YTD,2026-02-27,2026-03-02,SELL,LITE,742.89501953125,0.5,0.0,,,2.288867547518385
2026 YTD,2026-02-27,2026-03-02,BUY,MU,401.3014252611373,0.0,0.5,2.7004548461181184,2,2.288867547518385
2026 YTD,2026-03-31,2026-04-01,SELL,MU,348.9100036621094,0.5,0.0,,,2.1991162057353932
2026 YTD,2026-03-31,2026-04-01,BUY,LITE,734.875,0.0,0.5,3.8176281902980644,2,2.1991162057353932
