strategy,universe,top_n,date,equity,daily_return,holdings
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-29,3.349338480018493,0.0017578184196036517,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-30,3.2796951990649146,-0.02079314508493446,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-01,3.527413426623427,0.07553086873107606,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-02,3.486861770481442,-0.011496144975782552,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-05,3.6349635686487662,0.042474238417221644,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-06,3.312019002441178,-0.08884396228698299,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-07,3.1727326647261953,-0.04205481237043618,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-08,3.2993833073532004,0.039918472815274164,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-09,3.4959711468731802,0.059583207286601825,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-12,3.549158498103143,0.015213898798202008,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-13,3.5238871079271874,-0.00712038929494474,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-14,3.7909995278345883,0.07580050430858476,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-15,3.7721929431723193,-0.004960851227805652,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-16,3.797464333348276,0.006699389600868022,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-19,3.664789647020592,-0.03493770439463295,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-20,3.738400008483419,0.020085835355562853,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-21,3.6778663281137516,-0.016192403229269292,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-22,3.5835392646708373,-0.025647224512178268,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-23,3.5520969849205892,-0.008774085457979752,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-27,3.726645837021457,0.049139663934252065,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-28,3.650537974746365,-0.020422617443014657,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-29,3.683449385809249,0.00901549615167907,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-30,3.6299681186398893,-0.014519343573825116,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-02,3.8622590101665883,0.06399254316694547,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-03,3.9103042897062354,0.012439683463273177,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-04,3.9023701286877377,-0.002029039284585643,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-05,3.7986399971058624,-0.026581315498321767,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-06,3.635845316466957,-0.04285604341631133,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-09,3.7341390120347735,0.02703461974101007,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-10,3.850064301083792,0.031044717048669623,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-11,3.935281539750622,0.02213397803326078,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-12,4.00815699926887,0.018518486868633666,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-13,3.9321962070595626,-0.018951551105199527,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-16,4.114825841860366,0.0464446902402591,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-17,4.157581531259566,0.010390643745901373,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-18,4.085734217048772,-0.01728103554208038,PLTR
