strategy,date,equity,daily_return,holding
Top1 current-member baseline,2023-01-24,3.487711407824726,0.03546395004500402,FSLR
Top1 current-member baseline,2023-01-25,3.358655540393731,-0.03700302357054441,FSLR
Top1 current-member baseline,2023-01-26,3.405475757456644,0.01394016638497697,FSLR
Top1 current-member baseline,2023-01-27,3.465301793909094,0.017567600157321506,FSLR
Top1 current-member baseline,2023-01-30,3.5493381514008058,0.0242508048330512,FSLR
Top1 current-member baseline,2023-01-31,3.4250841696328225,-0.03500764831858705,FSLR
Top1 current-member baseline,2023-02-01,3.549538128200734,0.03633602924895518,FSLR
Top1 current-member baseline,2023-02-02,3.5315660546611105,-0.00506321467484383,PCG
Top1 current-member baseline,2023-02-03,3.491127845209613,-0.011450503494936815,PCG
Top1 current-member baseline,2023-02-06,3.48438831420362,-0.0019304738482266437,PCG
Top1 current-member baseline,2023-02-07,3.5023607146989675,0.005157978639201977,PCG
Top1 current-member baseline,2023-02-08,3.5023609643931315,7.129310319875515e-08,PCG
Top1 current-member baseline,2023-02-09,3.482142005343228,-0.005772951233599333,PCG
Top1 current-member baseline,2023-02-10,3.4843880943138794,0.0006450308365382185,PCG
Top1 current-member baseline,2023-02-13,3.4888812888851466,0.0012895218470638792,PCG
Top1 current-member baseline,2023-02-14,3.504607088822832,0.004507404705280216,PCG
Top1 current-member baseline,2023-02-15,3.484388354569173,-0.005769187170265644,PCG
Top1 current-member baseline,2023-02-16,3.5113467666731917,0.0077369137308322955,PCG
Top1 current-member baseline,2023-02-17,3.484387769928843,-0.007677679971748064,PCG
Top1 current-member baseline,2023-02-21,3.486635230187089,0.0006450086519194098,PCG
Top1 current-member baseline,2023-02-22,3.4417041605611898,-0.012886656234322613,PCG
Top1 current-member baseline,2023-02-23,3.5046072986942027,0.018276741753061154,PCG
Top1 current-member baseline,2023-02-24,3.448443874074808,-0.01602559711620788,PCG
Top1 current-member baseline,2023-02-27,3.563017304684636,0.033224676054954605,PCG
Top1 current-member baseline,2023-02-28,3.5248258695580508,-0.010718846376741253,PCG
Top1 current-member baseline,2023-03-01,3.491127628906514,-0.009560256846322446,PCG
Top1 current-member baseline,2023-03-02,3.5479528369936517,0.01627703542449299,WYNN
Top1 current-member baseline,2023-03-03,3.6190644558614085,0.020043000043938886,WYNN
