date,equity,units,exposure,allocation
2011-05-10,2.888364669581584,1.0,1.34,TQQQ
2011-05-11,2.8466161650588777,1.0,0.67,TQQQ
2011-05-12,2.8802558608324573,1.0,0.67,TQQQ
2011-05-13,2.8118959337144567,1.0,0.67,TQQQ
2011-05-16,2.782652242101903,2.0,0.2,TQQQ
2011-05-17,2.7872018744955898,2.0,0.2,TQQQ
2011-05-18,2.8780483607746596,2.0,1.34,TQQQ
2011-05-19,2.9112355940208308,2.0,1.34,TQQQ
2011-05-20,2.8251588055331123,2.0,1.34,TQQQ
2011-05-23,2.8006453438599905,2.0,0.2,TQQQ
2011-05-24,2.790090931372554,2.0,0.2,TQQQ
2011-05-25,2.7963134935117795,2.0,0.2,TQQQ
2011-05-26,2.806800048064572,2.0,0.2,TQQQ
2011-05-27,2.8151730363698313,2.0,0.2,TQQQ
2011-05-31,2.996703820371342,2.0,1.34,TQQQ
2011-06-01,2.95841067512246,2.0,0.2,TQQQ
2011-06-02,2.96184159482533,2.0,0.2,TQQQ
2011-06-03,2.9349473996966227,2.0,0.2,TQQQ
2011-06-06,2.9207674386076428,2.0,0.2,TQQQ
2011-06-07,2.917379317963484,2.0,0.2,TQQQ
2011-06-08,2.904818230274228,2.0,0.2,TQQQ
2011-06-09,2.906717317111984,1.0,0.2,SOXL
2011-06-10,2.8800207142044774,1.0,0.2,TQQQ
2011-06-13,2.8804182342756177,1.0,0.2,TQQQ
2011-06-14,2.901836608610107,1.0,0.2,TQQQ
2011-06-15,2.8701271362263876,2.0,0.2,TQQQ
2011-06-16,2.8621167234638114,2.0,0.2,TQQQ
2011-06-17,2.857861838193051,2.0,0.2,TQQQ
2011-06-20,2.865434633018563,2.0,0.2,TQQQ
2011-06-21,2.903640170452787,2.0,0.2,TQQQ
2011-06-22,2.89056169109886,2.0,0.2,TQQQ
2011-06-23,2.9065612791340882,2.0,0.2,TQQQ
2011-06-24,2.8759457742390295,2.0,0.2,TQQQ
2011-06-27,2.9038958260173904,2.0,0.2,TQQQ
2011-06-28,2.929956443618629,2.0,0.2,TQQQ
2011-06-29,2.9372961022996105,2.0,0.2,TQQQ
2011-06-30,3.0868449728821594,2.0,1.34,TQQQ
2011-07-01,3.2784991636621474,1.0,1.34,TQQQ
2011-07-05,3.3101544747524363,1.0,0.67,TQQQ
2011-07-06,3.3337874408181656,1.0,0.67,TQQQ
2011-07-07,3.424187336188327,1.0,0.67,TQQQ
2011-07-08,3.405191712341765,1.0,0.67,TQQQ
2011-07-11,3.282869427270804,2.0,0.67,TQQQ
2011-07-12,3.175620575406057,2.0,1.34,TQQQ
2011-07-13,3.232337991141159,2.0,1.34,TQQQ
2011-07-14,3.2100950303254954,2.0,0.2,TQQQ
2011-07-15,3.381159882226296,2.0,1.34,TQQQ
2011-07-18,3.306438252264866,2.0,1.34,TQQQ
2011-07-19,3.618881219216643,2.0,1.34,TQQQ
2011-07-20,3.551010528767321,2.0,1.34,TQQQ
2011-07-21,3.647506792183694,2.0,1.34,TQQQ
2011-07-22,3.799162196253135,2.0,1.34,TQQQ
2011-07-25,3.7691800769450383,2.0,1.34,TQQQ
2011-07-26,3.796929220394286,2.0,1.34,TQQQ
2011-07-27,3.410962803594198,2.0,1.34,TQQQ
2011-07-28,3.435341798688523,2.0,1.34,TQQQ
2011-07-29,3.3907473494598204,2.0,1.34,TQQQ
2011-08-01,3.3293645160780088,2.0,1.34,TQQQ
2011-08-02,3.2788202911211,2.0,0.2,TQQQ
2011-08-03,3.2958260035859825,2.0,0.2,TQQQ
2011-08-04,3.206115201494403,3.0,0.2,TQQQ
2011-08-05,3.1919743003159065,3.0,0.2,TQQQ
2011-08-08,3.0921534357405296,1.0,0.2,SOXL
2011-08-09,3.176852233573376,1.0,0.2,TQQQ
2011-08-10,3.1019138231230925,2.0,0.2,TQQQ
2011-08-11,3.1815493660338943,2.0,0.2,TQQQ
2011-08-12,3.197737271901132,2.0,0.2,TQQQ
2011-08-15,3.2253288195669927,1.0,0.2,TQQQ
2011-08-16,3.2087504640520157,1.0,0.2,TQQQ
2011-08-17,3.198339977742254,1.0,0.2,TQQQ
2011-08-18,3.1055776780258855,2.0,0.2,TQQQ
2011-08-19,3.0707601546390304,3.0,0.2,TQQQ
2011-08-22,3.0762720195032625,3.0,0.2,TQQQ
2011-08-23,3.1524232791332585,3.0,0.2,TQQQ
2011-08-24,3.1672888648682744,3.0,0.2,TQQQ
2011-08-25,3.1368548256542406,3.0,0.2,TQQQ
2011-08-26,3.182178438591848,3.0,0.2,TQQQ
2011-08-29,3.2363434401468965,1.0,0.2,TQQQ
2011-08-30,3.2495148450202556,1.0,0.2,TQQQ
2011-08-31,3.2533007407409475,1.0,0.2,TQQQ
2011-09-01,3.2349368486121364,1.0,0.2,TQQQ
2011-09-02,3.189644352841415,2.0,0.2,TQQQ
2011-09-06,3.1895423110830983,2.0,0.2,TQQQ
2011-09-07,3.237772632708945,2.0,0.2,TQQQ
2011-09-08,3.228803672644594,2.0,0.2,TQQQ
2011-09-09,3.18628674303508,2.0,0.2,TQQQ
2011-09-12,3.2101858889155337,2.0,0.2,TQQQ
2011-09-13,3.23509534912426,2.0,0.2,TQQQ
2011-09-14,3.263045210174265,2.0,0.2,TQQQ
2011-09-15,3.2926956990728464,2.0,0.2,TQQQ
2011-09-16,3.4079953388936417,1.0,1.34,TQQQ
2011-09-19,3.4138062673683995,1.0,0.67,TQQQ
2011-09-20,3.4041322450741776,1.0,0.2,TQQQ
2011-09-21,3.369508089237789,2.0,0.2,TQQQ
2011-09-22,3.3039389421492307,2.0,0.2,TQQQ
2011-09-23,3.324541991678381,2.0,0.2,TQQQ
2011-09-26,3.347095880810774,2.0,0.2,TQQQ
2011-09-27,3.3675696703585714,2.0,0.2,TQQQ
