strategy,signal_date,trade_date,action,ticker,security,sp500_date_added,price,score,skipped_not_yet_sp500_before_buy,equity_before_trade
Top1 current-member baseline,2023-05-31,2023-06-01,SELL,NVDA,Nvidia,2001-11-30,38.45495609590561,,,4.776289503344902
Top1 current-member baseline,2023-05-31,2023-06-01,BUY,META,Meta Platforms,2013-12-23,263.8295904214734,1.2355214284760017,0,4.776289503344902
Top1 current-member baseline,2023-06-30,2023-07-03,SELL,META,Meta Platforms,2013-12-23,284.4676665294726,,,5.14991486555843
Top1 current-member baseline,2023-06-30,2023-07-03,BUY,CVNA,Carvana,2025-12-22,5.179999828338623,2.3733684103308392,0,5.14991486555843
Top1 current-member baseline,2023-11-30,2023-12-01,SELL,CVNA,Carvana,2025-12-22,6.203999996185303,,,6.16796773457161
Top1 current-member baseline,2023-11-30,2023-12-01,BUY,VRT,Vertiv,2026-03-23,43.35177581174291,1.0242272280777773,0,6.16796773457161
Top1 current-member baseline,2023-12-29,2024-01-02,SELL,VRT,Vertiv,2026-03-23,47.344439934802175,,,6.736032664436383
Top1 current-member baseline,2023-12-29,2024-01-02,BUY,COIN,Coinbase,2025-05-19,173.02000427246094,0.7864429663596497,0,6.736032664436383
Top1 current-member baseline,2024-02-29,2024-03-01,SELL,COIN,Coinbase,2025-05-19,202.6999969482422,,,7.891537202683101
Top1 current-member baseline,2024-02-29,2024-03-01,BUY,CRWD,CrowdStrike,2024-06-24,319.25,1.0541923133770488,0,7.891537202683101
Top1 current-member baseline,2024-03-28,2024-04-01,SELL,CRWD,CrowdStrike,2024-06-24,321.0,,,7.934795433238133
Top1 current-member baseline,2024-03-28,2024-04-01,BUY,SMCI,Supermicro,2024-03-18,101.0,2.1705366252933804,0,7.934795433238133
Top1 current-member baseline,2024-05-31,2024-06-03,SELL,SMCI,Supermicro,2024-03-18,80.19999694824219,,,6.300698708224006
Top1 current-member baseline,2024-05-31,2024-06-03,BUY,CVNA,Carvana,2025-12-22,20.6560001373291,1.7207121840832764,0,6.300698708224006
Top1 current-member baseline,2024-06-28,2024-07-01,SELL,CVNA,Carvana,2025-12-22,25.79800033569336,,,7.869162776394298
Top1 current-member baseline,2024-06-28,2024-07-01,BUY,SMCI,Supermicro,2024-03-18,83.14399719238281,1.8465084787142478,0,7.869162776394298
Top1 current-member baseline,2024-07-31,2024-08-01,SELL,SMCI,Supermicro,2024-03-18,70.45600128173828,,,6.668307531293883
Top1 current-member baseline,2024-07-31,2024-08-01,BUY,CVNA,Carvana,2025-12-22,29.468000411987305,1.8171727056857159,0,6.668307531293883
Top1 current-member baseline,2024-10-31,2024-11-01,SELL,CVNA,Carvana,2025-12-22,49.46200180053711,,,11.192745843223966
Top1 current-member baseline,2024-10-31,2024-11-01,BUY,APP,AppLovin,2025-09-22,171.13999938964844,0.8126120932481071,0,11.192745843223966
Top1 current-member baseline,2025-04-30,2025-05-01,SELL,APP,AppLovin,2025-09-22,282.0,,,18.443112884456813
Top1 current-member baseline,2025-04-30,2025-05-01,BUY,PLTR,Palantir Technologies,2024-09-23,120.04000091552734,0.8814088358795829,0,18.443112884456813
Top1 current-member baseline,2025-06-30,2025-07-01,SELL,PLTR,Palantir Technologies,2024-09-23,135.27000427246094,,,20.783071806485175
Top1 current-member baseline,2025-06-30,2025-07-01,BUY,NRG,NRG Energy,2010-01-29,158.44766491220574,0.6743176004319931,0,20.783071806485175
Top1 current-member baseline,2025-07-31,2025-08-01,SELL,NRG,NRG Energy,2010-01-29,160.75911121351254,,,21.08625680124991
Top1 current-member baseline,2025-07-31,2025-08-01,BUY,HOOD,Robinhood Markets,2025-09-22,97.8000030517578,0.8050830709035481,0,21.08625680124991
Top1 current-member baseline,2025-10-31,2025-11-03,SELL,HOOD,Robinhood Markets,2025-09-22,148.7899932861328,,,32.07999907962434
Top1 current-member baseline,2025-10-31,2025-11-03,BUY,SNDK,Sandisk,2025-11-28,210.8500061035156,2.6087207524179523,0,32.07999907962434
Top1 PIT S&P membership,2019-12-31,2020-01-02,BUY,TGT,Target Corporation,1976-12-31,107.7088121789748,0.45585122228246133,5,1.0
Top1 PIT S&P membership,2020-02-28,2020-03-02,SELL,TGT,Target Corporation,1976-12-31,86.98389586619886,,,0.8075838374455534
Top1 PIT S&P membership,2020-02-28,2020-03-02,BUY,GE,GE Aerospace,1957-03-04,54.26231002807617,0.6329638723882893,1,0.8075838374455534
Top1 PIT S&P membership,2020-03-31,2020-04-01,SELL,GE,GE Aerospace,1957-03-04,36.4369118768414,,,0.5422891340774032
Top1 PIT S&P membership,2020-03-31,2020-04-01,BUY,REGN,Regeneron Pharmaceuticals,2013-05-01,480.8912585361074,0.6753785948526982,3,0.5422891340774032
