strategy,passed_is_dd_lt_50,top_n,lookback,skip,cash_filter,dca_steps,is_return,is_cagr,is_max_drawdown,is_sharpe,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe
SMH_HIST_PIT Top2 L252 S0 both_sma200 DCA3,True,2,252,0,both_sma200,3,13.361281493620162,0.3054698985668456,-0.38400038311229723,1.124231515488102,8.500277637454937,0.42213690221896694,-0.18632501051265837,1.1514529874427755
SMH_HIST_PIT Top2 L252 S21 none DCA1,True,2,252,21,none,1,18.19533112710425,0.343916482692749,-0.4720154873803625,1.081649449967668,9.632089090947149,0.4473973441895305,-0.45012619830668055,1.0748457224887829
SMH_HIST_PIT Top2 L252 S21 none DCA3,True,2,252,21,none,3,21.09149050766559,0.3629431110454979,-0.4720154873803625,1.1428844569562517,9.632089090947149,0.4473973441895305,-0.45012619830668055,1.0748457224887829
SMH_HIST_PIT Top2 L252 S21 smh_sma100 DCA1,True,2,252,21,smh_sma100,1,13.228541929381581,0.30425772285530317,-0.22741834462628918,1.1928534409740543,7.249802345675244,0.3910852610286606,-0.3087372438572785,1.0986582012566461
SMH_HIST_PIT Top2 L252 S21 smh_sma100 DCA3,True,2,252,21,smh_sma100,3,12.003462479342298,0.29256285606639576,-0.20038331528666675,1.2763262524137229,4.685088464670512,0.31237818608775214,-0.2846801253827286,0.9765945948046132
SMH_HIST_PIT Top2 L252 S21 smh_sma200 DCA1,True,2,252,21,smh_sma200,1,6.533106109214601,0.22386478470371474,-0.47415210526076546,0.8473020265779198,7.070494143375363,0.38631183192828256,-0.2909857518736143,1.0557986712284564
SMH_HIST_PIT Top2 L252 S21 smh_sma200 DCA3,True,2,252,21,smh_sma200,3,6.715548911161833,0.22679822800856853,-0.4847589719744504,0.9130183381018867,5.459968423361188,0.33887325241915045,-0.2909857518736143,0.9723294066446131
SMH_HIST_PIT Top2 L252 S21 both_sma200 DCA1,True,2,252,21,both_sma200,1,7.273944587336828,0.2354038905397331,-0.412157634976848,0.8924339825818225,7.87734317490373,0.40712994442192896,-0.2487252297936825,1.1056849576025891
SMH_HIST_PIT Top2 L252 S21 both_sma200 DCA3,True,2,252,21,both_sma200,3,7.082959398147523,0.23252099800234305,-0.42882737055506626,0.9346805741577815,6.105804870733028,0.3589789842910529,-0.2487252297936825,1.0221284397479486
SMH_HIST_PIT Top3 L63 S0 none DCA1,True,3,63,0,none,1,18.378448529041147,0.3451935906875443,-0.2761690104930067,1.247094081003795,9.73795908512062,0.4496424077878056,-0.3908181346465138,1.1821800232331474
SMH_HIST_PIT Top3 L63 S0 none DCA3,True,3,63,0,none,3,20.858120505780313,0.36149584121958944,-0.2761690104930066,1.3194978199048222,9.73795908512062,0.4496424077878056,-0.3908181346465138,1.1821800232331474
SMH_HIST_PIT Top3 L63 S0 smh_sma100 DCA1,True,3,63,0,smh_sma100,1,8.703021450272015,0.25525293602877985,-0.2014792631584319,1.131340724143965,6.2452091158795415,0.3631152958189434,-0.32161223177141596,1.1515696947967304
SMH_HIST_PIT Top3 L63 S0 smh_sma100 DCA3,True,3,63,0,smh_sma100,3,6.4421567727091205,0.22237847812264433,-0.18819622332453678,1.1181478665757987,4.593118261742206,0.3090342714377077,-0.277705001497236,1.0486575632702642
SMH_HIST_PIT Top3 L63 S0 smh_sma200 DCA1,True,3,63,0,smh_sma200,1,4.795307641397031,0.19217222703595138,-0.29168139631331813,0.8540454987340832,8.936942877057936,0.4321689501231205,-0.27722516499141603,1.2423143788202282
SMH_HIST_PIT Top3 L63 S0 smh_sma200 DCA3,True,3,63,0,smh_sma200,3,4.0558125779354866,0.17600186801969087,-0.32321588955417435,0.8499806546682874,6.73907603354469,0.37724844487495957,-0.22773243039199087,1.1591746228429491
SMH_HIST_PIT Top3 L63 S0 both_sma200 DCA1,True,3,63,0,both_sma200,1,4.272971680275815,0.18096005788309744,-0.3097117790498325,0.799981952569159,8.660584259426905,0.425864163126791,-0.27722516499141603,1.2329420315052717
SMH_HIST_PIT Top3 L63 S0 both_sma200 DCA3,True,3,63,0,both_sma200,3,3.7406454996535805,0.16845371732596837,-0.3259317855006024,0.8040099681059352,6.660520046566939,0.37505223999335024,-0.22773243039199087,1.1542386951529575
SMH_HIST_PIT Top3 L63 S21 none DCA1,True,3,63,21,none,1,17.3248840268716,0.3376916466017308,-0.3585925507618124,1.1845894177221683,8.545797344162182,0.42320063343680414,-0.3847055323092663,1.1051743495772015
SMH_HIST_PIT Top3 L63 S21 none DCA3,True,3,63,21,none,3,19.449224810824983,0.35245098216073334,-0.35859255076181273,1.2441147877536247,8.545797344162182,0.42320063343680414,-0.3847055323092663,1.1051743495772015
