rank_balanced,variant,unit_exposure,max_exposure,anchor_mode,add1_drop_pct,add2_drop_pct,sell_mode,sell_param_pct,max_extra_days,trend_guard_sma,trend_guard_exposure,equity_dd_guard_pct,equity_dd_guard_exposure,net_return_pct,cagr_pct,max_drawdown_pct,calmar,sharpe,dca_trade_events,rotation_resets,max_exposure_used,avg_exposure,days_above_1x_pct,base_rotation_return_pct,base_rotation_max_drawdown_pct,soxl_only_return_pct,soxl_only_max_drawdown_pct,beats_base_return,reduces_base_drawdown,beats_soxl_only_return,reduces_soxl_only_drawdown
2602,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/40%, sell=rebound_from_low 20%, max_days=20, trend_sma=100, dd_guard=none",0.5,1.0,rolling_high,5.0,40.0,rebound_from_low,20.0,20,100,1.0,none,none,328601.79,66.4,-74.25,0.894,1.14,369,123,1.0,0.826,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2603,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/40%, sell=rebound_from_low 20%, max_days=20, trend_sma=200, dd_guard=none",0.5,1.0,rolling_high,5.0,40.0,rebound_from_low,20.0,20,200,1.0,none,none,328601.79,66.4,-74.25,0.894,1.14,369,123,1.0,0.826,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2604,"unit=1.00, cap=2.00, anchor=rolling_high, add=10%/20%, sell=extra_profit 20%, max_days=20, trend_sma=none, dd_guard=45.0",1.0,2.0,rolling_high,10.0,20.0,extra_profit,20.0,20,none,none,45.0,0.75,324551.08,66.27,-78.87,0.84,1.04,304,123,2.0,1.074,18.95,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2605,"unit=1.00, cap=2.00, anchor=rolling_high, add=10%/30%, sell=extra_profit 20%, max_days=10, trend_sma=none, dd_guard=none",1.0,2.0,rolling_high,10.0,30.0,extra_profit,20.0,10,none,none,none,none,320333.5,66.14,-96.64,0.684,1.03,368,123,2.0,1.377,37.7,775116.8,-79.24,41069.8,-66.18,False,False,True,False
2606,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/40%, sell=extra_profit 15%, max_days=10, trend_sma=none, dd_guard=none",0.5,1.0,rolling_high,5.0,40.0,extra_profit,15.0,10,none,none,none,none,319337.41,66.1,-71.98,0.918,1.15,556,123,1.0,0.793,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2607,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/40%, sell=extra_profit 15%, max_days=10, trend_sma=100, dd_guard=none",0.5,1.0,rolling_high,5.0,40.0,extra_profit,15.0,10,100,1.0,none,none,319337.41,66.1,-71.98,0.918,1.15,556,123,1.0,0.793,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2608,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/40%, sell=extra_profit 15%, max_days=10, trend_sma=200, dd_guard=none",0.5,1.0,rolling_high,5.0,40.0,extra_profit,15.0,10,200,1.0,none,none,319337.41,66.1,-71.98,0.918,1.15,556,123,1.0,0.793,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2609,"unit=0.67, cap=1.50, anchor=entry, add=5%/20%, sell=extra_profit 20%, max_days=20, trend_sma=100, dd_guard=none",0.67,1.5,entry,5.0,20.0,extra_profit,20.0,20,100,1.0,none,none,318372.54,66.07,-67.37,0.981,1.24,78,123,1.34,0.71,3.8,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2610,"unit=0.67, cap=1.50, anchor=entry, add=5%/40%, sell=extra_profit 20%, max_days=20, trend_sma=100, dd_guard=none",0.67,1.5,entry,5.0,40.0,extra_profit,20.0,20,100,1.0,none,none,318372.54,66.07,-67.37,0.981,1.24,73,123,1.34,0.71,3.8,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2611,"unit=0.67, cap=2.00, anchor=entry, add=5%/20%, sell=extra_profit 20%, max_days=20, trend_sma=100, dd_guard=none",0.67,2.0,entry,5.0,20.0,extra_profit,20.0,20,100,1.0,none,none,318372.54,66.07,-67.37,0.981,1.24,78,123,1.34,0.71,3.8,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2612,"unit=0.67, cap=2.00, anchor=entry, add=5%/40%, sell=extra_profit 20%, max_days=20, trend_sma=100, dd_guard=none",0.67,2.0,entry,5.0,40.0,extra_profit,20.0,20,100,1.0,none,none,318372.54,66.07,-67.37,0.981,1.24,73,123,1.34,0.71,3.8,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2613,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/20%, sell=extra_profit 15%, max_days=10, trend_sma=none, dd_guard=none",0.5,1.0,rolling_high,5.0,20.0,extra_profit,15.0,10,none,none,none,none,318301.13,66.07,-71.98,0.918,1.15,638,123,1.0,0.793,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2614,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/20%, sell=extra_profit 15%, max_days=10, trend_sma=100, dd_guard=none",0.5,1.0,rolling_high,5.0,20.0,extra_profit,15.0,10,100,1.0,none,none,318301.13,66.07,-71.98,0.918,1.15,638,123,1.0,0.793,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2615,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/20%, sell=extra_profit 15%, max_days=10, trend_sma=200, dd_guard=none",0.5,1.0,rolling_high,5.0,20.0,extra_profit,15.0,10,200,1.0,none,none,318301.13,66.07,-71.98,0.918,1.15,638,123,1.0,0.793,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2616,"unit=1.00, cap=2.00, anchor=rolling_high, add=10%/20%, sell=rebound_from_low 20%, max_days=10, trend_sma=none, dd_guard=45.0",1.0,2.0,rolling_high,10.0,20.0,rebound_from_low,20.0,10,none,none,45.0,0.75,315278.55,65.97,-78.87,0.836,1.04,432,123,2.0,1.046,15.6,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2617,"unit=1.00, cap=2.00, anchor=rolling_high, add=10%/30%, sell=rebound_from_low 20%, max_days=10, trend_sma=none, dd_guard=45.0",1.0,2.0,rolling_high,10.0,30.0,rebound_from_low,20.0,10,none,none,45.0,0.75,315278.55,65.97,-78.87,0.836,1.04,373,123,2.0,1.046,15.6,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2618,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/20%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=45.0",0.5,1.0,rolling_high,5.0,20.0,rebound_from_low,20.0,20,none,none,45.0,0.75,310792.32,65.82,-69.78,0.943,1.15,435,123,1.0,0.813,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2619,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/40%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=45.0",0.5,1.0,rolling_high,5.0,40.0,rebound_from_low,20.0,20,none,none,45.0,0.75,310792.32,65.82,-69.78,0.943,1.15,369,123,1.0,0.813,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2620,"unit=0.75, cap=1.00, anchor=rolling_high, add=10%/20%, sell=extra_profit 20%, max_days=20, trend_sma=none, dd_guard=none",0.75,1.0,rolling_high,10.0,20.0,extra_profit,20.0,20,none,none,none,none,308211.12,65.73,-74.11,0.887,1.12,304,123,1.0,0.857,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2621,"unit=0.75, cap=1.00, anchor=rolling_high, add=10%/20%, sell=extra_profit 20%, max_days=20, trend_sma=100, dd_guard=none",0.75,1.0,rolling_high,10.0,20.0,extra_profit,20.0,20,100,1.0,none,none,308211.12,65.73,-74.11,0.887,1.12,304,123,1.0,0.857,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2622,"unit=0.75, cap=1.00, anchor=rolling_high, add=10%/20%, sell=extra_profit 20%, max_days=20, trend_sma=200, dd_guard=none",0.75,1.0,rolling_high,10.0,20.0,extra_profit,20.0,20,200,1.0,none,none,308211.12,65.73,-74.11,0.887,1.12,304,123,1.0,0.857,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
