variant,cash_mode,cash_sma,cash_exit_buffer,cash_reentry_buffer,unit_exposure,max_exposure,add1_drop,add2_drop,sell_mode,sell_param,max_extra_days,trend_guard_sma,trend_guard_exposure,vol_target,vol_window,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,max_exposure_used,trade_events,rotation_resets
"cash=qqq SMA250 exit=5% reentry=5%; unit=1.00, cap=2.00, add=15%/30%, sell=extra_profit 10%, max_days=10, trend_sma=100, trend_exp=0.25, vol_target=35%/20d",qqq,250,0.05,0.05,1.0,2.0,0.15,0.3,extra_profit,0.1,10,100.0,0.25,0.35,20,2010-06-25 to 2019-12-31,541.03,-41.67,0.763,14.11,2020-01-02 to 2026-05-20,821.39,-33.08,1.251,20.07,6072.13,-41.67,0.964,0.541,0.05,1.57,291,79
"cash=selected SMA250 exit=5% reentry=5%; unit=0.50, cap=1.00, add=10%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=150, trend_exp=0.5, vol_target=35%/20d",selected,250,0.05,0.05,0.5,1.0,0.1,0.2,rebound_from_low,0.05,10,150.0,0.5,0.35,20,2010-06-25 to 2019-12-31,559.86,-35.54,0.892,16.65,2020-01-02 to 2026-05-20,594.46,-27.01,1.236,25.31,4625.31,-35.54,1.041,0.4,0.0,1.0,595,64
"cash=selected SMA200 exit=5% reentry=5%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none, vol_target=35%/50d",selected,200,0.05,0.05,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,,,0.35,50,2010-06-25 to 2019-12-31,704.0,-40.38,0.834,16.65,2020-01-02 to 2026-05-20,692.08,-35.86,1.185,23.63,6518.62,-40.38,0.979,0.512,1.18,1.5,686,61
"cash=selected_and_qqq SMA100 exit=5% reentry=5%; unit=1.00, cap=1.50, add=8%/20%, sell=extra_profit 15%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=35%/50d",selected_and_qqq,100,0.05,0.05,1.0,1.5,0.08,0.2,extra_profit,0.15,20,200.0,0.5,0.35,50,2010-06-25 to 2019-12-31,168.09,-46.3,0.488,33.39,2020-01-02 to 2026-05-20,193.2,-34.65,0.713,34.85,716.93,-46.3,0.583,0.463,1.57,1.5,279,40
"cash=selected_or_qqq SMA100 exit=3% reentry=4%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 15%, max_days=10, trend_sma=200, trend_exp=0.5, vol_target=35%/50d",selected_or_qqq,100,0.03,0.04,0.75,1.0,0.05,0.15,extra_profit,0.15,10,200.0,0.5,0.35,50,2010-06-25 to 2019-12-31,542.41,-43.4,0.769,17.49,2020-01-02 to 2026-05-20,751.0,-35.66,1.214,21.45,5581.76,-43.4,0.953,0.515,0.0,1.0,567,61
"cash=qqq SMA100 exit=0% reentry=2%; unit=0.75, cap=1.50, add=10%/20%, sell=extra_profit 12%, max_days=5, trend_sma=75, trend_exp=0.25, vol_target=50%/50d",qqq,100,0.0,0.02,0.75,1.5,0.1,0.2,extra_profit,0.12,5,75.0,0.25,0.5,50,2010-06-25 to 2019-12-31,414.54,-43.1,0.682,23.91,2020-01-02 to 2026-05-20,777.39,-31.23,1.12,28.8,4625.67,-43.1,0.873,0.521,3.57,1.5,413,51
"cash=selected SMA150 exit=0% reentry=0%; unit=1.00, cap=2.00, add=10%/20%, sell=extra_profit 10%, max_days=20, trend_sma=none, trend_exp=none, vol_target=35%/20d",selected,150,0.0,0.0,1.0,2.0,0.1,0.2,extra_profit,0.1,20,,,0.35,20,2010-06-25 to 2019-12-31,566.77,-43.0,0.756,17.65,2020-01-02 to 2026-05-20,1051.9,-26.65,1.342,24.5,7926.21,-43.0,0.992,0.558,0.18,2.0,373,54
"cash=selected_and_qqq SMA150 exit=5% reentry=5%; unit=0.50, cap=1.00, add=10%/20%, sell=extra_profit 12%, max_days=5, trend_sma=150, trend_exp=0.5, vol_target=50%/20d",selected_and_qqq,150,0.05,0.05,0.5,1.0,0.1,0.2,extra_profit,0.12,5,150.0,0.5,0.5,20,2010-06-25 to 2019-12-31,409.62,-43.8,0.748,27.0,2020-01-02 to 2026-05-20,533.27,-34.39,1.015,26.5,3227.91,-43.8,0.869,0.416,0.0,1.0,476,55
"cash=selected_or_qqq SMA200 exit=5% reentry=5%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=200, trend_exp=0.5, vol_target=35%/50d",selected_or_qqq,200,0.05,0.05,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,200.0,0.5,0.35,50,2010-06-25 to 2019-12-31,749.8,-44.41,0.837,11.6,2020-01-02 to 2026-05-20,649.1,-41.33,1.13,18.89,6516.12,-44.41,0.959,0.533,1.18,1.5,772,74
"cash=selected_or_qqq SMA150 exit=0% reentry=0%; unit=0.75, cap=1.00, add=8%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=150, trend_exp=0.5, vol_target=none",selected_or_qqq,150,0.0,0.0,0.75,1.0,0.08,0.2,rebound_from_low,0.05,5,150.0,0.5,,20,2010-06-25 to 2019-12-31,1583.31,-47.17,0.938,12.27,2020-01-02 to 2026-05-20,4590.97,-47.31,1.331,20.07,82557.36,-47.31,1.117,0.677,0.0,1.0,786,64
