date,equity,exposure,units,held,base_allocation
2023-04-27,166.92460170367156,1.0,1.0,TQQQ,TQQQ
2023-04-28,170.30047136819468,1.0,1.0,TQQQ,TQQQ
2023-05-01,169.81823659155037,1.0,1.0,TQQQ,TQQQ
2023-05-02,165.2969744969922,1.0,1.0,TQQQ,TQQQ
2023-05-03,162.04164864320825,1.0,1.0,TQQQ,TQQQ
2023-05-04,160.23315809347,1.0,1.0,TQQQ,TQQQ
2023-05-05,170.05932421302865,1.0,1.0,TQQQ,TQQQ
2023-05-08,171.44583998475463,1.0,1.0,TQQQ,TQQQ
2023-05-09,168.1302779458137,1.0,1.0,TQQQ,TQQQ
2023-05-10,173.55579722197854,1.0,1.0,TQQQ,TQQQ
2023-05-11,175.00256108559904,1.0,1.0,TQQQ,TQQQ
2023-05-12,173.19408244259833,1.0,1.0,TQQQ,TQQQ
2023-05-15,175.84654636183612,1.0,1.0,TQQQ,TQQQ
2023-05-16,176.5096563882768,1.0,1.0,TQQQ,TQQQ
2023-05-17,182.83943284604825,1.0,1.0,TQQQ,TQQQ
2023-05-18,192.66561087234444,1.0,1.0,TQQQ,TQQQ
2023-05-19,191.33936700598804,1.0,1.0,TQQQ,TQQQ
2023-05-22,193.3287089920476,1.0,1.0,TQQQ,TQQQ
2023-05-23,185.85357582445363,1.0,1.0,TQQQ,TQQQ
2023-05-24,182.83943284604825,1.0,1.0,TQQQ,TQQQ
2023-05-25,196.04146863013003,1.0,1.0,TQQQ,TQQQ
2023-05-26,210.87120306131635,1.0,1.0,TQQQ,TQQQ
2023-05-30,213.825002693927,1.0,1.0,TQQQ,TQQQ
2023-05-31,209.48461584916518,1.0,1.0,TQQQ,TQQQ
2023-06-01,217.0803285477109,1.0,1.0,TQQQ,TQQQ
2023-06-02,221.96325779469913,1.0,1.0,TQQQ,TQQQ
2023-06-05,222.4455997319812,1.0,1.0,TQQQ,TQQQ
2023-06-06,222.20441685660265,1.0,1.0,TQQQ,TQQQ
2023-06-07,210.87120306131635,1.0,1.0,TQQQ,TQQQ
2023-06-08,218.10518907374436,1.0,1.0,TQQQ,TQQQ
2023-06-09,220.75762917950706,1.0,1.0,TQQQ,TQQQ
2023-06-12,232.03059488289884,1.0,1.0,TQQQ,TQQQ
2023-06-13,237.21497891063524,1.0,1.0,TQQQ,TQQQ
2023-06-14,242.27877150068235,1.0,1.0,TQQQ,TQQQ
