date,pure_top2_skip21,fallback_5pct,spmo,fallback_sleeve,holdings
2023-11-01,2.127100775777201,0.5415878722738737,1.4223568884333782,SPMO,CVNA SMCI
2023-11-02,2.1621063980207498,0.5451577230718164,1.4483131831854432,SPMO,CVNA VRT
2023-11-03,2.292960499637321,0.5475852307625656,1.4637871467840582,SPMO,CVNA VRT
2023-11-06,2.2792370578887624,0.5500983392020863,1.475018174313585,SPMO,CVNA VRT
2023-11-07,2.3205603123828826,0.5513098142680449,1.4765155670657386,SPMO,CVNA VRT
2023-11-08,2.303101555178201,0.5536344466080473,1.4859996687115518,SPMO,CVNA VRT
2023-11-09,2.159129366935783,0.5487177981600158,1.4762660339341784,SPMO,CVNA VRT
2023-11-10,2.155138260768306,0.5572355701025127,1.5070392976374556,SPMO,CVNA VRT
2023-11-13,2.16632634062936,0.5613070227864793,1.5139527134230786,SPMO,CVNA VRT
2023-11-14,2.2390192762939836,0.5635924747768587,1.5386610515731547,SPMO,CVNA VRT
2023-11-15,2.2382058257511837,0.5593090150344491,1.531672669168528,SPMO,CVNA VRT
2023-11-16,2.201798679645447,0.561138922244841,1.530674342679495,SPMO,CVNA VRT
2023-11-17,2.191198379935472,0.5631472044125857,1.5396592810807916,SPMO,CVNA VRT
2023-11-20,2.2556085385324005,0.5687120860091652,1.555882231999671,SPMO,CVNA VRT
2023-11-21,2.1821462690894426,0.5679802886776679,1.5496425459711212,SPMO,CVNA VRT
2023-11-22,2.1751626649215243,0.5667935634647483,1.5496425459711212,SPMO,CVNA VRT
2023-11-24,2.1559104079695697,0.5661181801095266,1.5480453593626227,SPMO,CVNA VRT
2023-11-27,2.143389467874973,0.5647656865597585,1.5424546728352007,SPMO,CVNA VRT
2023-11-28,2.167263882077972,0.5635773086133657,1.5386610515731547,SPMO,CVNA VRT
2023-11-29,2.1030218621874153,0.5610695016254064,1.5355411600681819,SPMO,CVNA VRT
2023-11-30,2.08811309036263,0.5613426846950519,1.5386610515731547,SPMO,CVNA VRT
2023-12-01,2.2681636724678067,0.5657303126442593,1.5446510105073523,SPMO,CVNA VRT
2023-12-04,2.322229490882782,0.5665594254042021,1.534917375729979,SPMO,CVNA VRT
2023-12-05,2.3271364001550037,0.566420782333856,1.5298008312469402,SPMO,CVNA VRT
2023-12-06,2.2262248683114763,0.5594561973959065,1.523686251219056,SPMO,CVNA VRT
2023-12-07,2.2685818515138783,0.5624748626999639,1.5346678425984186,SPMO,CVNA VRT
2023-12-08,2.3525359098630947,0.5694141301325439,1.5503163727095903,SPMO,VRT APP
2023-12-11,2.356752062948734,0.5727975028385074,1.5633694867046264,SPMO,VRT CVNA
2023-12-12,2.4023569439217582,0.5793880008748757,1.5775704725011193,SPMO,VRT COIN
2023-12-13,2.412975961826165,0.5863509024639709,1.5973122963875594,SPMO,VRT APP
2023-12-14,2.3991564826771357,0.5845171631445703,1.5990343950339319,SPMO,VRT APP
2023-12-15,2.444401079926595,0.5865258244403635,1.603302449284549,SPMO,VRT APP
2023-12-18,2.518946536947132,0.5880716898077124,1.6181653331078192,SPMO,VRT COIN
2023-12-19,2.5992275051881695,0.5925246936065992,1.6314270540853606,SPMO,VRT COIN
2023-12-20,2.5337611244190863,0.584060052150465,1.6056544420970635,SPMO,VRT COIN
2023-12-21,2.5559028883510195,0.5856839475952763,1.6244205361597075,SPMO,VRT COIN
2023-12-22,2.6044105083673883,0.5845156599368817,1.6274234681012671,SPMO,VRT COIN
2023-12-26,2.5855207247538963,0.5871179024623661,1.6371817361531902,SPMO,VRT COIN
2023-12-27,2.651714316406607,0.5880138416576824,1.6421863641054009,SPMO,VRT COIN
2023-12-28,2.703572767085829,0.5872086754342701,1.642436770069524,SPMO,VRT COIN
2023-12-29,2.592952624363393,0.5852072425765685,1.638833329324769,SPMO,VRT COIN
2024-01-02,2.4217695606252496,0.5834091219867782,1.623670191099901,SPMO,VRT COIN
2024-01-03,2.4574634775359336,0.5811509970639388,1.6099080461196968,SPMO,VRT CRWD
2024-01-04,2.48810087386799,0.5812412711980932,1.6114094151090808,SPMO,VRT COIN
2024-01-05,2.518145714935341,0.5834013309606674,1.6219185131277896,SPMO,VRT COIN
2024-01-08,2.579279894526419,0.591621235346582,1.6460394349631122,SPMO,VRT COIN
2024-01-09,2.5380298991300183,0.5940754499945514,1.6474912464592093,SPMO,VRT COIN
2024-01-10,2.560813057400097,0.5979441858648782,1.6629543481414872,SPMO,VRT CRWD
2024-01-11,2.4424464674747757,0.5988402371639653,1.6722127740791228,SPMO,VRT COIN
2024-01-12,2.418101281654731,0.5962974532899156,1.6723376861169967,SPMO,VRT CRWD
2024-01-16,2.4624096241397577,0.5958502934901533,1.666957934125581,SPMO,VRT CRWD
2024-01-17,2.443772746631501,0.5950417771500102,1.6574494901494057,SPMO,VRT CRWD
2024-01-18,2.462878732367682,0.5999484459405627,1.68272167813504,SPMO,VRT CRWD
2024-01-19,2.5142596851573407,0.6067943005108956,1.7077434601565513,SPMO,VRT CRWD
2024-01-22,2.4824253349804373,0.605644255363386,1.7129983001100932,SPMO,VRT CRWD
2024-01-23,2.47821636862361,0.6044953849249204,1.7114970281021051,SPMO,VRT CRWD
