strategy,universe,top_n,signal_date,trade_date,selected,skipped_not_yet_index_count,first_skipped_tickers,equity_before_rebalance
S&P 500 Top2 PIT membership,S&P 500,2,2024-02-29,2024-03-01,"AMD, ALL",5,"CRWD, SMCI, COIN, GDDY, DELL",1.783183155684949
S&P 500 Top2 PIT membership,S&P 500,2,2024-03-28,2024-04-01,"SMCI, NVDA",3,"COIN, CRWD, CVNA",1.783854689440596
S&P 500 Top2 PIT membership,S&P 500,2,2024-04-30,2024-05-01,"SMCI, NVDA",3,"COIN, CVNA, VST",1.5274825592147592
S&P 500 Top2 PIT membership,S&P 500,2,2024-05-31,2024-06-03,"SMCI, VST",1,CVNA,1.8002415478869898
S&P 500 Top2 PIT membership,S&P 500,2,2024-06-28,2024-07-01,"SMCI, VST",0,,1.7407841912880004
S&P 500 Top2 PIT membership,S&P 500,2,2024-07-31,2024-08-01,"VST, NVDA",3,"CVNA, HOOD, APP",1.5238671307676876
S&P 500 Top2 PIT membership,S&P 500,2,2024-08-30,2024-09-03,"MMM, NEM",2,"CVNA, TPL",1.5709508000793668
S&P 500 Top2 PIT membership,S&P 500,2,2024-09-30,2024-10-01,"HWM, NEM",2,"CVNA, TPL",1.6132923193179645
S&P 500 Top2 PIT membership,S&P 500,2,2024-10-31,2024-11-01,"FICO, PLTR",2,"APP, TPL",1.492549966135229
S&P 500 Top2 PIT membership,S&P 500,2,2024-11-29,2024-12-02,"PLTR, TPL",2,"APP, CVNA",2.0803123069095886
S&P 500 Top2 PIT membership,S&P 500,2,2024-12-31,2025-01-02,"PLTR, AXON",1,APP,1.8618393585677475
S&P 500 Top2 PIT membership,S&P 500,2,2025-01-31,2025-02-03,"PLTR, UAL",1,APP,1.9700813203423457
S&P 500 Top2 PIT membership,S&P 500,2,2025-02-28,2025-03-03,"PLTR, UAL",1,APP,2.0223018050936554
S&P 500 Top2 PIT membership,S&P 500,2,2025-03-31,2025-04-01,"PLTR, TPR",2,"APP, HOOD",1.6791996622496423
S&P 500 Top2 PIT membership,S&P 500,2,2025-04-30,2025-05-01,"PLTR, EQT",2,"APP, HOOD",2.0312904265380305
S&P 500 Top2 PIT membership,S&P 500,2,2025-05-30,2025-06-02,"PLTR, VRSN",0,,2.288500919259718
S&P 500 Top2 PIT membership,S&P 500,2,2025-06-30,2025-07-01,"NRG, HWM",1,HOOD,2.4072302055397317
S&P 500 Top2 PIT membership,S&P 500,2,2025-07-31,2025-08-01,"SMCI, PLTR",1,HOOD,2.382808057257975
S&P 500 Top2 PIT membership,S&P 500,2,2025-08-29,2025-09-02,"GEV, PLTR",2,"HOOD, FIX",1.9880939794515908
S&P 500 Top2 PIT membership,S&P 500,2,2025-09-30,2025-10-01,"HOOD, GEV",3,"SATS, FIX, LITE",2.1969586613517813
S&P 500 Top2 PIT membership,S&P 500,2,2025-10-31,2025-11-03,"HOOD, WDC",2,"SNDK, SATS",2.245605412275703
S&P 500 Top2 PIT membership,S&P 500,2,2025-11-28,2025-12-01,"SNDK, WDC",2,"SATS, LITE",2.108915586579966
S&P 500 Top2 PIT membership,S&P 500,2,2025-12-31,2026-01-02,"SNDK, WDC",2,"LITE, CIEN",2.3916205200921796
S&P 500 Top2 PIT membership,S&P 500,2,2026-01-30,2026-02-02,"SNDK, MU",2,"LITE, SATS",4.403074148475376
S&P 500 Top2 PIT membership,S&P 500,2,2026-02-27,2026-03-02,"SNDK, MU",0,,4.471246672510781
S&P 500 Top2 PIT membership,S&P 500,2,2026-03-31,2026-04-01,"SNDK, LITE",0,,4.295919625414642
S&P 500 Top2 PIT membership,S&P 500,2,2026-04-30,2026-05-01,"SNDK, LITE",0,,6.135017187570665
S&P 500 Top3 PIT membership,S&P 500,3,2019-12-31,2020-01-02,"TGT, LRCX, CVS",6,"DXCM, PODD, BLDR, CVNA, TSLA, MRNA",1.0
S&P 500 Top3 PIT membership,S&P 500,3,2020-01-31,2020-02-03,"TGT, AMD, SWKS",4,"TSLA, APO, BLDR, MRNA",0.9330662888461259
S&P 500 Top3 PIT membership,S&P 500,3,2020-02-28,2020-03-02,"GE, SWKS, AAPL",1,TSLA,0.8920146625394784
S&P 500 Top3 PIT membership,S&P 500,3,2020-03-31,2020-04-01,"REGN, AMD, NVDA",3,"TSLA, DXCM, MRNA",0.7120273950378847
S&P 500 Top3 PIT membership,S&P 500,3,2020-04-30,2020-05-01,"REGN, GEN, AMD",4,"PCG, MRNA, DXCM, TSLA",0.799009246224579
S&P 500 Top3 PIT membership,S&P 500,3,2020-05-29,2020-06-01,"NEM, DXCM, GEN",3,"TSLA, MRNA, EQT",0.8718919138717609
S&P 500 Top3 PIT membership,S&P 500,3,2020-06-30,2020-07-01,"DXCM, REGN, NVDA",5,"MRNA, TSLA, CRWD, DDOG, VEEV",0.8742348387538057
S&P 500 Top3 PIT membership,S&P 500,3,2020-07-31,2020-08-03,"REGN, DXCM, NVDA",6,"MRNA, DDOG, EQT, TSLA, CRWD, VEEV",0.939663289341114
S&P 500 Top3 PIT membership,S&P 500,3,2020-08-31,2020-09-01,"PYPL, WST, AMZN",8,"MRNA, EQT, DDOG, CRWD, CVNA, TSLA, VEEV, COHR",0.9921687529168205
S&P 500 Top3 PIT membership,S&P 500,3,2020-09-30,2020-10-01,"APA, RCL, FCX",6,"TSLA, CVNA, XYZ, TRGP, TTD, BLDR",0.9492598185845039
