is_rank,profile_pair,date,action,symbol,fraction,price,remaining_before,r_multiple,reason
1,risk_first_trend_runner__one_r_invalidation,2023-02-02,scale_out,SOXL,0.333333,17.534992,1.0,1.4751,recover risk
1,risk_first_trend_runner__one_r_invalidation,2023-02-21,stop_exit,SOXL,0.666667,14.423315,0.666667,0.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2023-02-21,entry,SOXL,1.0,13.709,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2023-03-23,scale_out,SOXL,0.333333,17.14003,1.0,1.1496,recover risk
1,risk_first_trend_runner__one_r_invalidation,2023-04-03,scanner_exit,SOXL,0.666667,17.453625,0.666667,1.2547,target changed to TQQQ
1,risk_first_trend_runner__one_r_invalidation,2023-04-03,entry,TQQQ,1.0,13.548535,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2023-04-25,stop_exit,TQQQ,1.0,12.193682,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2023-04-25,entry,TQQQ,1.0,12.167609,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2023-04-28,scale_out,TQQQ,0.333333,13.640277,1.0,1.2103,recover risk
1,risk_first_trend_runner__one_r_invalidation,2023-05-17,scale_out,TQQQ,0.333333,14.644588,0.666667,2.0357,lock profit
1,risk_first_trend_runner__one_r_invalidation,2023-08-02,stop_exit,TQQQ,0.333333,20.139016,0.333333,6.5513,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2023-08-02,entry,TQQQ,1.0,20.353174,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2023-08-17,stop_exit,TQQQ,1.0,18.317857,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2023-08-17,entry,TQQQ,1.0,17.713364,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2023-08-29,scale_out,TQQQ,0.333333,20.03833,1.0,1.3125,recover risk
1,risk_first_trend_runner__one_r_invalidation,2023-09-21,stop_exit,TQQQ,0.666667,17.713364,0.666667,0.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2023-09-21,entry,TQQQ,1.0,17.304266,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2023-10-11,scale_out,TQQQ,0.333333,19.122187,1.0,1.0506,recover risk
1,risk_first_trend_runner__one_r_invalidation,2023-10-19,stop_exit,TQQQ,0.666667,17.304266,0.666667,0.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2023-10-19,entry,TQQQ,1.0,17.352875,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2023-10-25,scanner_exit,TQQQ,1.0,15.928675,1.0,-0.7711,target changed to CASH
1,risk_first_trend_runner__one_r_invalidation,2023-11-02,entry,TQQQ,1.0,17.644518,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2023-11-10,scale_out,TQQQ,0.333333,19.817276,1.0,1.2166,recover risk
1,risk_first_trend_runner__one_r_invalidation,2023-11-20,scale_out,TQQQ,0.333333,21.727549,0.666667,2.2862,lock profit
1,risk_first_trend_runner__one_r_invalidation,2024-01-02,scanner_exit,TQQQ,0.333333,23.49749,0.333333,3.2772,target changed to SOXL
1,risk_first_trend_runner__one_r_invalidation,2024-01-02,entry,SOXL,1.0,27.628942,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2024-01-19,scale_out,SOXL,0.333333,34.348965,1.0,1.9488,recover risk
1,risk_first_trend_runner__one_r_invalidation,2024-01-22,scale_out,SOXL,0.333333,34.743099,0.666667,2.0631,lock profit
1,risk_first_trend_runner__one_r_invalidation,2024-01-31,stop_exit,SOXL,0.333333,31.077174,0.333333,1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2024-01-31,entry,SOXL,1.0,31.629423,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2024-02-08,scale_out,SOXL,0.333333,36.605392,1.0,1.0196,recover risk
1,risk_first_trend_runner__one_r_invalidation,2024-02-29,scale_out,SOXL,0.333333,42.211975,0.666667,2.1684,lock profit
