strategy,top_n,date,equity,daily_return,holdings
Nasdaq-100 Top1 PIT membership,1,2022-07-01,5.488704561077868,0.01126159816724881,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-07-05,5.566420305137744,0.014159214290924593,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-06,5.35998767907964,-0.03708534654984097,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-07,5.441346270103897,0.01517887650037042,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-08,5.410989190787969,-0.005578964801912445,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-11,5.372130161134799,-0.007181501992154504,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-12,5.389130957430791,0.00316462851533017,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-13,5.302914051926612,-0.015998294750158015,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-14,5.208198214293121,-0.017861092355264452,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-15,5.380630788135867,0.033107913091619645,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-18,5.379416833579501,-0.00022561565811995976,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-19,5.369702632733534,-0.001805809281282822,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-20,5.330844370214885,-0.00723657624572549,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-21,5.2421991989991215,-0.01662872990835229,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-22,5.27984306896267,0.007180930852596301,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-25,5.355130031813947,0.01425931829183491,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-26,5.419488755919829,0.01201814404571655,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-27,5.4085605457876555,-0.0020164651361692654,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-28,5.4680610330009785,0.011001168741591183,EXC
Nasdaq-100 Top1 PIT membership,1,2022-07-29,5.588278680741861,0.021985425366568112,EXC
Nasdaq-100 Top1 PIT membership,1,2022-08-01,5.635636397200439,0.008474472939544064,EXC
Nasdaq-100 Top1 PIT membership,1,2022-08-02,5.66677073836967,0.005524547535518343,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-03,5.618297012771506,-0.008554029770420857,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-04,5.6797754548725266,0.010942540410602719,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-05,5.604898278318419,-0.013183122669025993,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-08,5.720368510813494,0.020601664251740592,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-09,5.732191819278353,0.0020668788107809366,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-10,5.790124656802123,0.010106576916866672,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-11,5.7448040699948715,-0.007827221259219419,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-12,5.70105837485838,-0.00761482804347946,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-15,5.753474173183338,0.009194046943302947,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-16,5.734952361251591,-0.0032192396062323825,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-17,5.732192616055756,-0.000481215016620129,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-18,5.714457459311939,-0.0030939568733509004,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-19,5.747955677371058,0.005862011975350745,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-22,5.721945249567598,-0.004525161511919729,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-23,5.697906048797669,-0.004201228729293849,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-24,5.655736181330468,-0.0074009411713797935,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-25,5.726675167851951,0.012542838676890877,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-26,5.7968241899833215,0.012249520022572291,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-29,5.634849095363471,-0.027942040212248775,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-30,5.698299492810188,0.011260354336538603,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-08-31,5.751502761972786,0.009336692328953067,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-09-01,5.654949511981818,-0.0167874821567241,TMUS
Nasdaq-100 Top1 PIT membership,1,2022-09-02,5.723566411103916,0.012133954330929342,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-06,5.662574033921309,-0.010656358780825936,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-07,5.724951174833776,0.011015686600969854,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-08,5.743665846076162,0.003268966087371039,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-09,5.995258178103615,0.04380344169905537,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-12,6.13803549172742,0.023815040050363168,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-13,6.022982383545294,-0.018744288516609253,CEG
