strategy,signal_date,purchase_date,selected_ticker,selected_security,selected_score,selected_sp500_date_added,skipped_not_yet_sp500_count,first_skipped_tickers,prior_holding,equity_before_rebalance
Top1 PIT S&P membership,2024-05-31,2024-06-03,SMCI,Supermicro,1.5668393622958368,2024-03-18,1,CVNA,SMCI,1.7212035008710045
Top1 PIT S&P membership,2024-06-28,2024-07-01,SMCI,Supermicro,1.8465084787142478,2024-03-18,0,,SMCI,1.78438584151436
Top1 PIT S&P membership,2024-07-31,2024-08-01,VST,Vistra Corp.,1.131203239610326,2024-05-08,1,CVNA,SMCI,1.5120837989777236
Top1 PIT S&P membership,2024-08-30,2024-09-03,MMM,3M,0.6580514637943369,1957-03-04,1,CVNA,VST,1.6171002556149674
Top1 PIT S&P membership,2024-09-30,2024-10-01,HWM,Howmet Aerospace,0.4688255780936972,2016-10-21,2,"CVNA, TPL",MMM,1.6534520205941432
Top1 PIT S&P membership,2024-10-31,2024-11-01,FICO,Fair Isaac,0.6631570556348803,2023-03-20,2,"APP, TPL",HWM,1.6637053012264895
Top1 PIT S&P membership,2024-11-29,2024-12-02,PLTR,Palantir Technologies,1.0152213105033319,2024-09-23,2,"APP, CVNA",FICO,1.9817458204681027
Top1 PIT S&P membership,2024-12-31,2025-01-02,PLTR,Palantir Technologies,1.5969803340762128,2024-09-23,1,APP,PLTR,2.2391610321049717
Top1 PIT S&P membership,2025-01-31,2025-02-03,PLTR,Palantir Technologies,1.8702120512091551,2024-09-23,1,APP,PLTR,2.3544984892751954
Top1 PIT S&P membership,2025-02-28,2025-03-03,PLTR,Palantir Technologies,1.5862516777431837,2024-09-23,1,APP,PLTR,2.602069870960096
Top1 PIT S&P membership,2025-03-31,2025-04-01,PLTR,Palantir Technologies,1.2889488318491664,2024-09-23,1,APP,PLTR,2.4651341881837663
Top1 PIT S&P membership,2025-04-30,2025-05-01,PLTR,Palantir Technologies,0.8814088358795829,2024-09-23,0,,PLTR,3.527413426623427
Top1 PIT S&P membership,2025-05-30,2025-06-02,PLTR,Palantir Technologies,0.832018556008782,2024-09-23,0,,PLTR,3.8622590101665883
Top1 PIT S&P membership,2025-06-30,2025-07-01,NRG,NRG Energy,0.6743176004319931,2010-01-29,0,,PLTR,3.974951896458762
Top1 PIT S&P membership,2025-07-31,2025-08-01,SMCI,Supermicro,0.6978418006579119,2024-03-18,1,HOOD,NRG,4.03293878988526
Top1 PIT S&P membership,2025-08-29,2025-09-02,GEV,GE Vernova,0.9723164798838437,2024-04-02,1,HOOD,SMCI,2.826799739288117
Top1 PIT S&P membership,2025-09-30,2025-10-01,HOOD,Robinhood Markets,1.499519496613929,2025-09-22,0,,GEV,2.87031132680531
Top1 PIT S&P membership,2025-10-31,2025-11-03,HOOD,Robinhood Markets,1.99855930213415,2025-09-22,2,"SNDK, SATS",HOOD,3.023316010562395
Top1 PIT S&P membership,2025-11-28,2025-12-01,SNDK,Sandisk,4.422128099138006,2025-11-28,0,,HOOD,2.508423745673252
Top1 PIT S&P membership,2025-12-31,2026-01-02,SNDK,Sandisk,3.5481498016208795,2025-11-28,0,,SNDK,2.8933788149609714
Top1 PIT S&P membership,2026-01-30,2026-02-02,SNDK,Sandisk,4.596924777935193,2025-11-28,0,,SNDK,6.972172418328188
Top1 PIT S&P membership,2026-02-27,2026-03-02,SNDK,Sandisk,9.892444670547254,2025-11-28,0,,SNDK,7.325452624439613
Top1 PIT S&P membership,2026-03-31,2026-04-01,SNDK,Sandisk,4.454449489778359,2025-11-28,0,,SNDK,7.72384676281176
Top1 PIT S&P membership,2026-04-30,2026-05-01,SNDK,Sandisk,2.6195523914650924,2025-11-28,0,,SNDK,12.539987774066951
