date,equity,units,exposure,allocation
2012-01-31,8.79788496496804,1.0,0.67,TQQQ
2012-02-01,8.942763819596745,1.0,0.67,TQQQ
2012-02-02,9.004469510247644,1.0,0.67,TQQQ
2012-02-03,9.244361402682982,1.0,0.67,TQQQ
2012-02-06,9.238353837718499,1.0,0.67,TQQQ
2012-02-07,9.26504620177559,1.0,0.67,TQQQ
2012-02-08,9.36835166374887,1.0,0.67,TQQQ
2012-02-09,9.507562142199827,1.0,0.67,TQQQ
2012-02-10,9.371319618924634,1.0,0.67,TQQQ
2012-02-13,9.540363415443728,1.0,0.67,TQQQ
2012-02-14,9.596219371186452,1.0,0.67,TQQQ
2012-02-15,9.45270694643148,1.0,0.67,TQQQ
2012-02-16,9.717455455905615,1.0,0.67,TQQQ
2012-02-17,9.662081426663189,1.0,0.67,TQQQ
2012-02-21,9.71696087858065,1.0,0.67,TQQQ
2012-02-22,9.6309608026014,1.0,0.67,TQQQ
2012-02-23,9.753322854453742,1.0,0.67,TQQQ
2012-02-24,9.81706677429881,1.0,0.67,TQQQ
2012-02-27,9.848832066972422,1.0,0.67,TQQQ
2012-02-28,10.04623917727264,1.0,0.67,TQQQ
2012-02-29,9.957779969479967,1.0,0.67,TQQQ
2012-03-01,10.120032803592165,1.0,0.67,TQQQ
2012-03-02,10.099584946834742,1.0,0.67,TQQQ
2012-03-05,9.888560854469791,1.0,0.67,TQQQ
2012-03-06,9.698570441957981,2.0,0.67,TQQQ
2012-03-07,9.993521747681804,2.0,1.34,TQQQ
2012-03-08,10.41825313764103,2.0,1.34,TQQQ
2012-03-09,10.586978151932216,2.0,1.34,TQQQ
2012-03-12,10.609672135957014,2.0,1.34,TQQQ
2012-03-13,11.410552874435133,2.0,1.34,TQQQ
2012-03-14,11.581773405748207,2.0,1.34,TQQQ
2012-03-15,11.700443294116711,1.0,1.34,TQQQ
2012-03-16,11.683350259272391,1.0,0.67,TQQQ
2012-03-19,11.85374464169264,1.0,0.67,TQQQ
2012-03-20,11.897231733614968,1.0,0.67,TQQQ
2012-03-21,11.894521933717012,1.0,0.67,TQQQ
2012-03-22,11.846356883392959,1.0,0.67,TQQQ
2012-03-23,11.835485734173275,1.0,0.67,TQQQ
2012-03-26,12.249624247592648,1.0,0.67,TQQQ
2012-03-27,12.281050369618862,1.0,0.67,TQQQ
2012-03-28,12.18485248583223,1.0,0.67,TQQQ
2012-03-29,12.101026423118308,1.0,0.67,TQQQ
2012-03-30,12.044497585609053,1.0,0.67,TQQQ
2012-04-02,12.290687814434847,1.0,0.67,TQQQ
2012-04-03,12.291366548544124,1.0,0.67,TQQQ
2012-04-04,11.955413533743835,1.0,0.67,TQQQ
2012-04-05,12.101703855194309,1.0,0.67,TQQQ
2012-04-09,11.915209106906262,1.0,0.67,TQQQ
2012-04-10,11.529815791082724,2.0,0.67,TQQQ
2012-04-11,11.753341459871738,2.0,1.34,TQQQ
2012-04-12,12.281539191634662,2.0,1.34,TQQQ
2012-04-13,11.537248036135486,2.0,1.34,TQQQ
2012-04-16,11.050429521396978,2.0,1.34,TQQQ
2012-04-17,11.923299854493774,2.0,1.34,TQQQ
2012-04-18,11.806565518806245,2.0,1.34,TQQQ
2012-04-19,11.295041980217688,2.0,1.34,TQQQ
2012-04-20,11.131960007597506,2.0,1.34,TQQQ
2012-04-23,10.756504707947707,2.0,1.34,TQQQ
2012-04-24,10.502056791992176,2.0,1.34,TQQQ
2012-04-25,11.619853086796128,2.0,1.34,TQQQ
2012-04-26,11.898371014798634,2.0,1.34,TQQQ
2012-04-27,12.171607264503848,2.0,1.34,TQQQ
2012-04-30,11.832635370819228,2.0,1.34,TQQQ
2012-05-01,11.922664366563774,2.0,1.34,TQQQ
2012-05-02,12.028111491283747,2.0,1.34,TQQQ
2012-05-03,11.52747614995948,2.0,1.34,TQQQ
2012-05-04,10.394063799171334,2.0,1.34,TQQQ
2012-05-07,10.414131446741068,2.0,1.34,TQQQ
