date,SOXL/TQQQ Rotation with cash daily scanner,SOXL buy-and-hold,TQQQ buy-and-hold
2022-11-22,-0.4135452403912111,-0.8224251805885511,-0.7508185326026424
2022-11-23,-0.4135452403912111,-0.8166436622530937,-0.7433667384100211
2022-11-25,-0.4135452403912111,-0.8229757731723353,-0.7486732665141613
2022-11-28,-0.4135452403912111,-0.8370165841814511,-0.7597379992216906
2022-11-29,-0.4135452403912111,-0.838530801302185,-0.7654961812784566
2022-11-30,-0.4135452403912111,-0.8097609048944818,-0.7339956629315931
2022-12-01,-0.4135452403912111,-0.8141658475232031,-0.732527877772051
2022-12-02,-0.4135452403912111,-0.8206356537120286,-0.7356892074275792
2022-12-05,-0.4135452403912111,-0.8266924548754816,-0.7490120295252538
2022-12-06,-0.4135452403912111,-0.8386684023244932,-0.7649316138376743
2022-12-07,-0.4135452403912111,-0.8389437390080748,-0.767754248121979
2022-12-08,-0.4135452403912111,-0.8262794902417987,-0.7595121496987546
2022-12-09,-0.4135452403912111,-0.8304091365786279,-0.7641413321536941
2022-12-12,-0.4135452403912111,-0.8213239146376036,-0.7555605383592462
2022-12-13,-0.4135452403912111,-0.8123763475744736,-0.7478829622835581
2022-12-14,-0.4135452403912111,-0.8210486183457115,-0.753866948770014
2022-12-15,-0.4135452403912111,-0.8430733718810076,-0.778254481028595
2022-12-16,-0.4135452403912111,-0.847065376803839,-0.7848029447693413
2022-12-19,-0.4135452403912111,-0.8528468951392965,-0.7937223888417665
2022-12-20,-0.4135452403912111,-0.8561900210338377,-0.7946256742003953
2022-12-21,-0.4135452403912111,-0.8461053605911534,-0.7857062075813471
2022-12-22,-0.4135452403912111,-0.8648932183753536,-0.8009366543607198
2022-12-23,-0.4135452403912111,-0.8650313579535222,-0.800369223498812
2022-12-27,-0.4135452403912111,-0.8719386599954675,-0.8088810471733975
2022-12-28,-0.4135452403912111,-0.8776026519783096,-0.8165984405853645
2022-12-29,-0.4135452403912111,-0.8664128210546905,-0.8036604667962647
2022-12-30,-0.4135452403912111,-0.8664128210546905,-0.8036604667962647
2023-01-03,-0.4135452403912111,-0.8706953768641572,-0.808086639457402
2023-01-04,-0.4135452403912111,-0.8608870090417067,-0.8051358727143925
2023-01-05,-0.4135452403912111,-0.8677943110836519,-0.8143286044046181
2023-01-06,-0.4135452403912111,-0.8498352907684632,-0.7998017475436582
2023-01-09,-0.4135452403912111,-0.8407176881563381,-0.7956025742832316
2023-01-10,-0.4135452403912111,-0.8346392639750937,-0.790154994505388
2023-01-11,-0.4135452403912111,-0.8286989793720181,-0.7797138562977453
2023-01-12,-0.4135452403912111,-0.8228968612749039,-0.7763091132999372
2023-01-13,-0.4135452403912111,-0.8211009525114368,-0.7718829180921769
