Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
CNC,2017-07-21,2017-07-25,2017-10-17,43.01,46.9,1212.809377,4717.83,9.04,time_stop,60.65,43.01,60.91,38.99,84
CF,2017-12-08,2017-12-12,2018-03-09,32.13,33.8586,1746.184107,3018.53,5.38,time_stop,71.08,32.13,43.31,27.12,87
FLR,2018-04-20,2018-04-23,2018-05-04,56.66,51.83,1007.96106,-4868.45,-8.52,stop,79.79,56.66,78.67,51.83,11
NOV,2018-07-27,2018-07-30,2018-10-17,42.4,36.52,1308.685291,-7695.07,-13.87,stop,72.71,42.4,56.21,36.52,79
MOS,2018-07-27,2018-08-01,2018-10-24,26.1,25.5497,2133.233574,-1173.86,-2.11,time_stop,78.61,26.1,35.42,23.78,84
ULTA,2018-11-02,2018-11-07,2018-12-07,290.3,263.01,182.205015,-4972.37,-9.4,stop,69.52,290.3,413.46,263.01,30
WELL,2018-10-26,2018-10-30,2019-01-28,53.08,59.9188,989.674941,6768.2,12.88,time_stop,72.32,53.08,71.25,47.77,90
WELL,2019-01-25,2019-01-30,2019-04-25,59.55,59.2414,892.200726,-275.35,-0.52,time_stop,77.41,59.55,81.16,52.36,85
FTNT,2019-04-12,2019-04-15,2019-05-07,18.58,16.17,2854.20976,-6878.65,-12.97,stop,84.83,18.58,24.57,16.17,22
AZO,2019-02-22,2019-02-26,2019-05-21,926.75,1032.25,57.437161,6059.62,11.38,time_stop,65.56,926.75,1225.78,798.41,84
KMX,2019-05-31,2019-06-03,2019-08-26,79.61,80.61,662.803176,662.8,1.26,time_stop,83.27,79.61,103.98,75.1,84
AKAM,2019-07-26,2019-07-31,2019-10-23,84.74,90.22,643.927031,3528.72,6.47,time_stop,81.4,84.74,110.64,76.39,84
AVY,2019-10-18,2019-10-23,2020-01-17,105.15,120.9766,515.101623,8152.3,15.05,time_stop,76.5,105.15,137.32,95.72,86
KR,2020-02-14,2020-02-18,2020-05-12,25.45,29.3903,2234.985028,8806.43,15.48,time_stop,85.94,25.45,33.28,23.28,84
ADSK,2020-05-22,2020-05-28,2020-08-20,199.59,249.15,299.693604,14852.81,24.83,time_stop,65.73,199.59,259.75,170.57,84
CAG,2020-06-26,2020-06-30,2020-09-23,26.5,25.6564,2406.483101,-2030.2,-3.18,time_stop,78.84,26.5,35.92,23.9,85
EXPD,2020-07-31,2020-08-03,2020-10-26,79.71,88.5075,700.788992,6165.19,11.04,time_stop,82.9,79.71,106.83,67.54,84
