period_end,filing_date,form,source_type,series,accession,source_url,security_name,ticker_guess,cusip,shares,market_value_usd,pct_value
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,"Microchip Technology, Inc.",MCHP,,190870.0,7100364.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,Lam Research Corp. *,LRCX,,121586.0,5425167.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,"Skyworks Solutions, Inc.",SWKS,,191114.0,5284302.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,"Advanced Micro Devices, Inc.",AMD,,601124.0,4821014.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,Atmel Corp.,ATML,,452761.0,4464223.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,ON Semiconductor Corp.,ON,,458605.0,4132031.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,"Cree, Inc. *",CREE,,115386.0,3649659.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,"Teradyne, Inc.",TER,,189125.0,3194321.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,Intel Corp.,INTC,,3025317.0,80624698.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,Taiwan Semiconductor Manufacturing Co. Ltd.,TSM,,3806513.0,53138921.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,"Texas Instruments, Inc.",TXN,,966587.0,27731381.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,ASML Holding N.V.,ASML,,416097.0,21395708.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,Broadcom Corp.,BRCM,,576599.0,19489046.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,"Applied Materials, Inc.",AMAT,,1671419.0,19154462.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,"Analog Devices, Inc.",ADI,,439705.0,16563687.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,Altera Corp.,ALTR,,485665.0,16434904.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,ARM Holdings Plc,ARMH,,683960.0,16271408.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,"Xilinx, Inc.",XLNX,,394446.0,13241552.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,KLA-Tencor Corp.,KLAC,,251155.0,12369384.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,NVIDIA Corp.,NVDA,,873929.0,12077699.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,Avago Technologies Ltd.,AVGO,,335053.0,12028403.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,"Maxim Integrated Products, Inc.",MXIM,,435158.0,11157451.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,Linear Technology Corp.,LLTC,,313914.0,9834926.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,"Microchip Technology, Inc.",MCHP,,280661.0,9284266.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,"Micron Technology, Inc.",MU,,1443482.0,9108371.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,Marvell Technology Group Ltd.,MRVL,,720754.0,8130105.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,"Skyworks Solutions, Inc.",SWKS,,280999.0,7690943.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,Lam Research Corp.,LRCX,,178802.0,6747987.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,"Advanced Micro Devices, Inc.",AMD,,883894.0,5064713.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,ON Semiconductor Corp.,ON,,674337.0,4787793.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,Atmel Corp.,ATML,,665720.0,4460324.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,"Cree, Inc. *",CREE,,169642.0,4354710.0,
2012-06-30,2012-08-28,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,"Teradyne, Inc.",TER,,278031.0,3909116.0,
2012-09-30,2012-11-30,N-CSR,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-006414,https://www.sec.gov/Archives/edgar/data/1137360/000093041312006414/c71236_ncsr.htm,Intel Corp.,INTC,,2505443.0,56823447.0,
2012-09-30,2012-11-30,N-CSR,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-006414,https://www.sec.gov/Archives/edgar/data/1137360/000093041312006414/c71236_ncsr.htm,Taiwan Semiconductor Manufacturing Co. Ltd.,TSM,,2619133.0,41434684.0,
2012-09-30,2012-11-30,N-CSR,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-006414,https://www.sec.gov/Archives/edgar/data/1137360/000093041312006414/c71236_ncsr.htm,"Texas Instruments, Inc.",TXN,,660826.0,18205756.0,
2012-09-30,2012-11-30,N-CSR,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-006414,https://www.sec.gov/Archives/edgar/data/1137360/000093041312006414/c71236_ncsr.htm,ASML Holding N.V.,ASML,,261146.0,14018317.0,
2012-09-30,2012-11-30,N-CSR,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-006414,https://www.sec.gov/Archives/edgar/data/1137360/000093041312006414/c71236_ncsr.htm,Broadcom Corp.,BRCM,,402572.0,13920940.0,
2012-09-30,2012-11-30,N-CSR,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-006414,https://www.sec.gov/Archives/edgar/data/1137360/000093041312006414/c71236_ncsr.htm,ARM Holdings Plc,ARMH,,471003.0,13178664.0,
