Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
FANG,2021-10-28,2021-11-02,2021-11-19,93.35,85.3,1523.585324,-12264.86,-8.62,stop,75.35,93.35,132.54,85.3,17
NOW,2021-10-18,2021-10-19,2021-12-01,134.1,121.44,1055.188497,-13358.69,-9.44,stop,81.51,134.1,178.54,121.44,43
FCX,2022-01-07,2022-01-12,2022-01-24,40.99,37.76,3190.152295,-10304.19,-7.88,stop,79.45,40.99,54.36,37.76,12
EOG,2021-12-31,2022-01-04,2022-03-04,74.94,98.43,1768.79696,41549.04,31.35,target,79.33,74.94,98.43,65.97,59
APA,2021-12-31,2022-01-04,2022-03-07,24.84,35.2,5408.331148,56030.31,41.71,target,67.53,24.84,35.2,19.9,62
FCX,2022-02-22,2022-02-25,2022-04-22,42.86,39.28,2810.549479,-10061.77,-8.35,stop,81.38,42.86,56.78,39.28,56
UAL,2022-04-20,2022-04-22,2022-05-12,46.94,41.08,3372.207958,-19761.14,-12.48,stop,82.16,46.94,67.34,41.08,20
ROL,2022-05-25,2022-05-31,2022-06-10,33.84,31.98,4482.990406,-8338.36,-5.5,stop,71.49,33.84,44.22,31.98,10
LW,2022-06-21,2022-06-23,2022-09-16,64.15,70.9976,2321.511166,15896.67,10.67,time_stop,83.55,64.15,84.04,57.9,85
DG,2022-06-21,2022-06-24,2022-09-19,223.17,228.9317,675.414627,3891.51,2.58,time_stop,72.85,223.17,296.61,211.69,87
COP,2022-10-04,2022-10-05,2022-12-29,103.21,103.9627,1506.840411,1134.26,0.73,time_stop,84.14,103.21,142.11,85.89,85
SLB,2022-10-18,2022-10-19,2023-01-12,40.74,53.98,3769.458874,49907.64,32.5,target,80.71,40.74,53.98,38.4,85
EOG,2022-10-18,2022-10-19,2023-01-13,112.65,114.6371,1397.907174,2777.79,1.76,time_stop,82.51,112.65,146.61,103.9,86
VTRS,2023-01-30,2023-02-02,2023-02-27,10.46,9.66,16630.83982,-13304.67,-7.65,stop,89.5,10.46,13.77,9.66,25
HCA,2023-01-11,2023-01-17,2023-04-12,249.26,266.0733,695.903448,11700.46,6.75,time_stop,74.56,249.26,346.47,228.06,85
META,2023-04-25,2023-04-27,2023-07-24,220.38,289.3394,784.672634,54110.59,31.29,time_stop,55.99,220.38,339.24,196.36,88
NOW,2023-05-15,2023-05-17,2023-08-11,97.12,111.488,1835.001495,26365.3,14.79,time_stop,74.48,97.12,131.97,85.54,86
CRM,2023-05-24,2023-05-30,2023-08-23,210.79,206.104,795.279497,-3726.64,-2.22,time_stop,81.97,210.79,282.83,187.81,85
WDC,2023-09-19,2023-09-20,2023-10-23,34.87,31.78,5692.837356,-17590.87,-8.86,stop,86.1,34.87,45.65,31.78,33
AMD,2023-12-06,2023-12-07,2024-01-18,125.73,164.1,1479.809997,56780.31,30.52,target,72.45,125.73,164.1,116.37,42
DLR,2023-10-24,2023-10-27,2024-01-24,116.54,128.8614,1653.042871,20367.86,10.57,time_stop,81.99,116.54,152.35,105.5,89
CFG,2024-01-26,2024-01-31,2024-02-07,31.14,27.89,7348.221146,-23881.72,-10.44,stop,87.35,31.14,41.42,27.89,7
STLD,2023-11-29,2023-11-30,2024-02-27,112.51,128.7747,1770.817894,28801.86,14.46,time_stop,73.07,112.51,148.3,103.63,89
AMD,2024-01-12,2024-01-18,2024-03-01,151.05,200.06,1420.881283,69637.39,32.45,target,82.38,151.05,200.06,133.74,43
HCA,2024-03-01,2024-03-06,2024-04-18,313.02,296.82,784.567066,-12709.99,-5.18,stop,78.25,313.02,410.72,296.82,43
CFG,2024-03-04,2024-03-05,2024-05-29,29.99,31.838,8109.842692,14987.03,6.16,time_stop,87.09,29.99,39.67,27.81,85
PODD,2024-06-21,2024-06-24,2024-07-08,204.74,193.74,1196.582456,-13162.41,-5.37,stop,72.26,204.74,267.92,193.74,14
JCI,2024-05-15,2024-05-20,2024-08-14,66.55,67.097,3752.609756,2052.85,0.82,time_stop,86.47,66.55,87.26,58.29,86
NEM,2024-07-08,2024-07-11,2024-10-03,43.27,51.7776,5586.787892,47530.07,19.66,time_stop,81.81,43.27,56.37,38.85,84
GILD,2024-09-10,2024-09-12,2024-12-05,77.51,89.5841,3296.779485,39805.79,15.58,time_stop,74.2,77.51,100.9,73.88,84
HPE,2024-12-31,2025-01-06,2025-01-28,21.33,20.44,13145.891031,-11699.84,-4.17,stop,72.82,21.33,28.06,20.44,22
EXPE,2024-11-05,2024-11-06,2025-02-04,164.57,166.4059,1625.994536,2985.21,1.12,time_stop,81.76,164.57,221.27,152.11,90
DAL,2024-11-05,2024-11-06,2025-02-04,58.17,67.8756,4215.520073,40914.0,16.68,time_stop,81.26,58.17,75.81,52.29,90
HSY,2025-03-05,2025-03-07,2025-03-17,177.4,163.25,1649.878186,-23345.78,-7.98,stop,63.87,177.4,242.21,163.25,10
CVS,2025-02-11,2025-02-12,2025-05-08,55.82,65.456,5018.185025,48355.05,17.26,time_stop,74.83,55.82,74.46,50.95,85
LUV,2025-07-08,2025-07-10,2025-07-30,33.99,30.29,8486.363969,-31399.55,-10.89,stop,82.81,33.99,45.19,30.29,20
DXCM,2025-07-29,2025-07-30,2025-08-01,89.96,79.4,3090.095551,-32631.41,-11.74,stop,87.65,89.96,122.03,79.4,2
META,2025-07-28,2025-07-31,2025-10-06,746.15,690.03,359.872679,-20196.05,-7.52,stop,82.69,746.15,1013.99,690.03,67
INCY,2025-08-12,2025-08-13,2025-11-05,81.82,105.7,3311.644772,79082.07,29.19,time_stop,86.61,81.82,107.03,73.81,84
IQV,2025-09-26,2025-10-01,2025-12-24,196.22,226.02,1334.450124,39766.62,15.19,time_stop,75.08,196.22,270.27,176.16,84
HOLX,2025-10-15,2025-10-20,2026-01-14,70.9,75.16,3502.439278,14920.4,6.01,time_stop,77.29,70.9,93.5,63.6,86
WAT,2025-11-19,2025-11-24,2026-02-09,391.79,350.65,779.650689,-32074.83,-10.5,stop,80.64,391.79,512.16,350.65,77
DOW,2026-01-29,2026-02-03,2026-03-19,28.46,37.94,10598.335778,100472.22,33.31,target,83.61,28.46,37.94,25.26,44
DOW,2026-03-27,2026-03-31,2026-04-17,40.64,35.19,7875.432827,-42921.11,-13.41,stop,62.41,40.64,58.93,35.19,17
MRNA,2026-03-02,2026-03-04,2026-05-28,54.94,47.57,5584.838984,-41160.27,-13.41,time_stop,66.59,54.94,77.4,36.65,85
HPE,2026-05-12,2026-05-13,2026-05-29,31.64,41.56,9641.060014,95639.32,31.35,target,74.48,31.64,41.56,27.34,16
