segment_id,entry_date,exit_date,symbol,entry_price,exit_price,calendar_days,trading_days,symbol_return_%,strategy_segment_return_%,segment_max_drawdown_%,start_equity,end_equity,avg_exposure,max_exposure,days_above_1x_%
42,2018-12-07,2018-12-07,SOXL,5.5093,5.5093,0,1,0.0,0.0,0.0,23084.562923,23084.562923,0.2,0.2,0.0
43,2018-12-10,2018-12-10,TQQQ,5.3341,5.3341,0,1,0.0,0.0,0.0,23229.206746,23229.206746,0.2,0.2,0.0
44,2018-12-11,2018-12-19,SOXL,5.8443,5.0504,8,7,-13.58,-2.69,-3.54,23311.429101,22685.243634,0.2,0.2,0.0
45,2018-12-20,2018-12-20,TQQQ,4.3285,4.3285,0,1,0.0,0.0,0.0,22503.042003,22503.042003,0.2,0.2,0.0
46,2018-12-21,2018-12-24,SOXL,4.6956,4.2878,3,2,-8.69,-1.74,-1.74,22296.688166,21909.394216,0.2,0.2,0.0
47,2018-12-26,2018-12-26,TQQQ,4.2783,4.2783,0,1,0.0,0.0,0.0,22705.089412,22705.089412,0.2,0.2,0.0
48,2018-12-27,2019-01-02,SOXL,5.1373,5.4869,6,4,6.81,1.34,0.0,22806.719649,23111.767456,0.2,0.2,0.0
49,2019-01-03,2019-03-01,TQQQ,4.048,6.2111,57,40,53.43,24.25,-3.64,22663.92627,28159.600893,0.545,1.5,7.5
50,2019-03-04,2019-05-23,SOXL,8.3468,7.2498,80,58,-13.14,31.8,-29.81,28169.34693,37127.869048,1.08,2.0,48.28
51,2019-05-24,2019-05-24,TQQQ,6.452,6.452,0,1,0.0,0.0,0.0,37116.896242,37116.896242,0.2,0.2,0.0
52,2019-05-28,2019-06-03,SOXL,6.8694,6.8777,6,5,0.12,0.05,-0.87,36914.895194,36931.953894,0.2,0.2,0.0
53,2019-06-04,2019-09-03,TQQQ,6.0653,7.0093,91,64,15.56,80.42,-9.6,37530.596963,67714.185204,0.799,2.0,26.56
54,2019-09-04,2019-11-01,SOXL,10.2265,13.6641,58,43,33.61,106.76,-13.14,71866.517351,148587.744207,1.172,2.0,48.84
55,2019-11-04,2019-12-02,TQQQ,8.6456,8.9797,28,20,3.87,2.92,-3.39,150576.339402,154978.534583,0.75,0.75,0.0
56,2019-12-03,2020-01-02,SOXL,13.0246,18.8427,30,21,44.67,32.18,-2.4,149663.733677,197828.984406,0.75,0.75,0.0
57,2020-01-03,2020-02-27,TQQQ,10.5506,9.0522,55,38,-14.2,0.59,-25.85,193794.670128,194937.964386,0.845,1.5,18.42
58,2020-02-28,2020-02-28,SOXL,13.2304,13.2304,0,1,0.0,0.0,0.0,197767.241897,197767.241897,0.2,0.2,0.0
59,2020-03-02,2020-03-09,TQQQ,10.4479,7.3103,7,6,-30.03,-6.27,-6.73,203166.021443,190427.571075,0.2,0.2,0.0
60,2020-03-10,2020-03-10,SOXL,11.3975,11.3975,0,1,0.0,0.0,0.0,197698.466846,197698.466846,0.2,0.2,0.0
61,2020-03-11,2020-03-11,TQQQ,7.3617,7.3617,0,1,0.0,0.0,0.0,192613.510838,192613.510838,0.2,0.2,0.0
62,2020-03-12,2020-03-12,SOXL,6.5855,6.5855,0,1,0.0,0.0,0.0,180896.97718,180896.97718,0.2,0.2,0.0
63,2020-03-13,2020-03-16,TQQQ,6.7862,4.4473,3,2,-34.47,-6.89,-6.89,190661.207841,177518.866837,0.2,0.2,0.0
64,2020-03-17,2020-03-17,SOXL,5.6607,5.6607,0,1,0.0,0.0,0.0,181047.87061,181047.87061,0.2,0.2,0.0
65,2020-03-18,2020-03-20,TQQQ,4.6933,4.2396,2,3,-9.67,-1.89,-2.34,177696.071086,174337.64863,0.2,0.2,0.0
66,2020-03-23,2020-03-23,SOXL,4.5113,4.5113,0,1,0.0,0.0,0.0,177581.775877,177581.775877,0.2,0.2,0.0
67,2020-03-24,2020-07-01,TQQQ,5.2007,12.0752,99,70,132.19,89.52,-11.33,185498.682351,351549.490069,0.614,1.5,18.57
