date,same_close_equity,next_day_equity,same_exposure,next_exposure,allocation
2023-12-26,80693438.05512626,603.040385401548,0.75,0.75,TQQQ
2023-12-27,81012156.99493667,605.4222444092995,0.75,0.75,TQQQ
2023-12-28,80858899.17327075,604.2769139081987,0.75,0.75,TQQQ
2023-12-29,80021374.88774206,598.0179047483296,0.75,0.75,TQQQ
2024-01-02,76979134.60787931,575.2825523445911,0.75,0.75,TQQQ
2024-01-03,73293524.2542009,547.6718897217779,0.75,1.5,SOXL
2024-01-04,71890474.37318566,537.1878669171917,0.75,0.75,SOXL
2024-01-05,72628214.11425647,542.7004865138944,0.75,0.75,SOXL
2024-01-08,77879963.80739763,581.9431850749959,0.75,0.75,SOXL
2024-01-09,77859418.70214388,581.7896656920306,0.75,0.75,SOXL
2024-01-10,77345737.93443285,577.9512840665227,0.75,0.75,SOXL
2024-01-11,77942924.41805547,582.4136462373956,0.75,0.75,SOXL
2024-01-12,77203482.91620976,576.8883105576701,0.75,0.75,SOXL
2024-01-16,79449526.1523423,593.6714405278328,0.75,0.75,SOXL
2024-01-17,77898098.88069011,582.0786959534994,0.75,0.75,SOXL
2024-01-18,83569888.2370394,624.4600608353721,0.75,0.75,SOXL
2024-01-19,90944889.2428444,679.5683501235316,0.75,0.75,SOXL
2024-01-22,91727536.70685618,685.4165341201788,0.75,0.75,SOXL
2024-01-23,93015270.2257182,695.0388773886949,0.75,0.75,SOXL
2024-01-24,95928466.78768918,716.8071834220099,0.75,0.75,SOXL
2024-01-25,95351675.24837501,712.4972185850602,0.75,0.75,SOXL
2024-01-26,89360066.52415197,667.7260644366002,0.75,0.75,SOXL
2024-01-29,93419529.18892068,698.0596254365878,1.5,1.5,SOXL
2024-01-30,87380846.15187737,652.9367174582777,1.5,1.5,SOXL
2024-01-31,81790877.02018884,611.1667386096649,1.5,1.5,SOXL
2024-02-01,83128572.79448336,621.1624153087388,1.5,1.5,SOXL
2024-02-02,87739721.93327154,655.6183483304658,1.5,1.5,SOXL
2024-02-05,93410839.46091524,697.9946931003913,1.5,1.5,SOXL
2024-02-06,88341125.99673375,660.1122255627893,1.5,1.5,SOXL
2024-02-07,94334122.59534422,704.8937503380706,1.5,1.5,SOXL
2024-02-08,101497205.54736158,758.4185223623924,1.5,1.5,SOXL
2024-02-09,110390159.52215457,824.8694258786675,1.5,1.5,SOXL
2024-02-12,110032198.96648678,822.1946338562714,0.75,0.75,SOXL
2024-02-13,105162969.07743406,785.8102416202217,0.75,0.75,SOXL
2024-02-14,114925631.69714054,858.7598772129509,1.5,1.5,SOXL
2024-02-15,114881565.29500885,858.4305994223919,1.5,1.5,SOXL
2024-02-16,111444842.40959801,832.7503427250185,1.5,1.5,SOXL
2024-02-20,103114828.1741636,770.5058991107767,1.5,1.5,SOXL
2024-02-21,101925667.11150372,761.6201197326188,1.5,1.5,SOXL
2024-02-22,124262441.97098924,928.5274123217479,1.5,1.5,SOXL
2024-02-23,121449889.02964194,886.4948807985572,0.75,1.5,SOXL
2024-02-26,123808147.5409758,920.9219867366588,0.75,1.5,SOXL
2024-02-27,123582824.23218411,917.5699425729767,0.75,1.5,SOXL
2024-02-28,120629285.14294843,873.7114418576122,0.75,1.5,SOXL
2024-02-29,127539704.67204933,973.8150378203491,0.75,1.5,SOXL
