Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
INCY,2025-08-12,2025-08-13,2025-09-12,81.82,82.9179,643.357492,706.31,1.34,atr_stop,86.61,81.82,107.03,82.9179,30
BX,2025-09-17,2025-09-19,2025-09-25,182.09,171.1187,285.171142,-3128.69,-6.03,atr_stop,82.05,182.09,247.82,171.1187,6
IQV,2025-09-26,2025-10-01,2025-11-05,196.22,207.465,259.320754,2916.06,5.73,atr_stop,75.08,196.22,270.27,207.465,35
WAT,2025-11-19,2025-11-24,2025-12-12,391.79,384.9921,134.776778,-916.19,-1.74,atr_stop,80.64,391.79,512.16,384.9921,18
HOLX,2025-10-15,2025-10-20,2025-12-24,70.9,74.6071,736.98544,2732.11,5.23,atr_stop,77.29,70.9,93.5,74.6071,65
MRNA,2025-12-31,2026-01-06,2026-01-21,35.9,48.76,1461.315968,18792.52,35.82,target,56.63,35.9,48.76,41.3615,15
FCX,2026-01-05,2026-01-08,2026-01-30,54.2,61.4618,949.585769,6895.71,13.4,atr_stop,79.13,54.2,72.85,61.4618,22
DOW,2026-01-29,2026-02-03,2026-02-20,28.46,29.6952,2144.201986,2648.62,4.34,atr_stop,83.61,28.46,37.94,29.6952,17
MRNA,2026-03-02,2026-03-04,2026-03-27,54.94,51.0336,1126.808535,-4401.72,-7.11,atr_stop,66.59,54.94,77.4,51.0336,23
HPE,2026-05-12,2026-05-13,2026-05-29,31.64,41.56,1910.228247,18949.46,31.35,target,74.48,31.64,41.56,38.5345,16
