Variant,StockCondition,MarketCondition,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
stock_close_gt_sma50_sma50_rising__market_spx_sma50_gt_sma200,stock_close_gt_sma50_sma50_rising,market_spx_sma50_gt_sma200,172.47,10.56,-16.81,0.776,66,50.0,92.2,10.74,-16.44,0.759,51,47.06,False
stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma200,stock_close_gt_sma20_sma20_gt_sma50,market_spx_close_gt_sma200,168.09,10.38,-23.99,0.741,68,52.94,122.79,13.33,-16.29,0.918,50,50.0,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma100,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_close_gt_sma100,167.16,10.34,-19.07,1.041,34,52.94,51.68,6.72,-18.83,0.519,41,41.46,False
stock_close_gt_sma20_sma20_gt_sma50__market_spx_sma200_rising,stock_close_gt_sma20_sma20_gt_sma50,market_spx_sma200_rising,164.43,10.23,-20.38,0.754,64,53.12,99.23,11.36,-16.29,0.778,51,47.06,False
stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma20_sma20_gt_sma50,market_spx_close_gt_sma200_sma200_rising,161.8,10.12,-21.17,0.747,64,53.12,123.48,13.38,-16.29,0.926,48,50.0,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma200,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_close_gt_sma200,161.15,10.09,-20.89,1.018,35,51.43,59.03,7.51,-18.83,0.573,40,42.5,False
stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma50_rs63_gt_spx,market_spx_close_gt_sma50_sma50_gt_sma200,158.43,9.97,-17.97,0.757,60,51.67,159.65,16.07,-14.37,1.092,47,55.32,False
stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma200_sma200_rising,market_spx_close_gt_sma50_sma50_gt_sma200,156.68,9.9,-17.28,0.784,53,49.06,106.35,11.98,-14.37,0.902,41,51.22,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_none,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_none,154.67,9.81,-20.89,0.991,36,50.0,91.5,10.68,-18.83,0.705,46,50.0,False
stock_close_gt_sma200_sma200_rising__market_spx_sma50_gt_sma200,stock_close_gt_sma200_sma200_rising,market_spx_sma50_gt_sma200,154.18,9.79,-17.28,0.76,59,49.15,68.37,8.48,-16.71,0.639,45,46.67,False
stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma50_sma50_rising,market_spx_close_gt_sma50_sma50_gt_sma200,153.97,9.78,-17.62,0.744,59,50.85,145.52,15.06,-14.37,1.044,46,54.35,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_close_gt_sma50_sma50_gt_sma200,145.1,9.39,-15.46,1.0,30,50.0,69.54,8.59,-16.47,0.672,36,47.22,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_sma50_gt_sma200,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_sma50_gt_sma200,138.84,9.11,-17.36,0.963,33,48.48,52.69,6.83,-18.83,0.531,39,43.59,False
stock_close_gt_sma20_sma20_gt_sma50__market_spx_sma50_gt_sma200,stock_close_gt_sma20_sma20_gt_sma50,market_spx_sma50_gt_sma200,138.72,9.1,-19.48,0.7,63,49.21,85.82,10.16,-16.29,0.699,50,48.0,False
stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma20_sma20_gt_sma50,market_spx_close_gt_sma50_sma50_gt_sma200,117.31,8.08,-23.76,0.657,55,50.91,120.8,13.17,-16.29,0.97,44,52.27,False
